,evap_flow,T_evap_in,cond_flow
0,412.22658895,281.2970765394598,1
1,220.3903135,281.18059032691923,0
2,220.3903135,280.9772116408946,0
3,220.3903135,280.36764927573705,0
4,220.3903135,280.35017307891815,0
5,220.3903135,280.34843089287,0
6,220.3903135,280.29322545247635,0
7,220.3903135,280.3346798110793,0
8,220.3903135,280.96438508519435,0
9,220.3903135,280.6813153848554,0
10,220.3903135,282.2229953081916,0
11,220.3903135,281.43909205278135,0
12,220.3903135,281.6731326551929,0
13,630.61690245,281.72604124289376,2
14,220.3903135,281.8325447923717,0
15,220.3903135,281.7036192037267,0
16,412.22658895,281.4975412070116,1
17,630.61690245,281.6596678226073,2
18,412.22658895,281.42615753691206,1
19,412.22658895,281.40173680765866,1
20,412.22658895,281.34222000181654,1
21,412.22658895,281.27963316143365,1
22,630.61690245,281.58033494822405,2
23,220.3903135,281.16210915028995,0
