,Chiller_1,Chiller_2,Chiller_3
0,0,0,509.6611532955668
1,0,0,512.2766353865779
2,0,480.48283120305507,0.0
3,0,469.9547369381977,0.0
4,0,463.04656745574687,0.0
5,0,0,457.6108091046633
6,0,0,438.1499763502676
7,0,470.9968594310951,0.0
8,0,621.5084634289399,0.0
9,0,563.3204314283312,0.0
10,0,0,668.2433390063767
11,0,0,733.4387900609395
12,0,0,873.8885725877451
13,0,0,788.7744023175768
14,0,0,854.204086955286
15,0,0,899.9657438534575
16,0,595.7251272820316,603.4950082978819
17,201.77396559944867,783.7198717838949,0.0
18,0,0,865.6723934945826
19,0,781.461902990612,0.0
20,0,0,849.1247590226689
21,0,732.0754490214138,0.0
22,0,748.5798883832044,0.0
23,0,580.7386445518953,0.0
