,gv2_demand,hsb_demand,pfa_demand,ser_demand,T_WB,v0,v1,obj_func
0,499.1,300.0,49.99999999999999,0.0,22.47434912,276.83272782325747,552.3592323064804,6072.272631768612
1,499.1,300.0,59.999999999999986,0.0,22.47434912,277.19142663002015,908.9980214834213,4416.153188240336
2,104.39889910000002,200.0,49.99999999999999,0.0,22.47434912,277.3949572563171,450.0,16929.016398361564
3,16.484036699999972,300.0,49.99999999999999,0.0,22.07528905,276.1312938308716,510.1984903216362,2153.2491157500763
4,14.65247706,200.0,49.99999999999999,0.0,20.53862231,278.186837310791,638.7034900486469,31350.21777355314
5,16.484036699999972,200.0,59.999999999999986,0.0,19.01665621,277.230966796875,516.6247561573982,13852.249519503755
6,14.65247706,200.0,40.0,0.0,18.45060888,279.0,510.11976301670074,32920.31637559209
7,16.484036699999972,200.0,49.99999999999999,430.0,19.39113708,276.7580097770691,611.5914240479469,5912.667181217112
8,815.0440367000001,300.0,420.0,360.0,19.84464425,276.8801223564148,664.3024198710918,841.7342664725845
9,499.1,200.0,340.0,340.0,22.09284342,277.1362292289734,683.3227638155222,5618.703034477188
10,998.2,300.0,370.0,300.0,23.2820209,279.0,798.3721271157265,10832.06603496605
11,1497.3,200.0,390.0,390.0,23.2820209,277.2724336624146,840.5531615018845,1331.943427724041
12,1996.4,300.0,420.0,360.0,23.78992925,277.2345703697205,757.9483360052109,100000.0
13,1497.3,300.0,430.0,370.0,23.78992925,278.6452861404419,933.1185728311539,1633.583561339707
14,1996.4,200.0,400.0,350.0,24.22544387,279.0,949.3207275867462,13780.506942624594
15,1996.4,300.0,470.0,370.0,24.22544387,277.9387292289734,860.5797782540321,1825.0871743326152
16,1996.4,200.0,470.0,380.0,23.78992925,277.20808095932006,1000.0,1939.250251868157
17,1996.4,300.0,420.0,370.0,23.78992925,277.98378822326663,1000.0,5479.578384335273
18,1996.4,200.0,440.0,360.0,23.78992925,277.23501623153686,1000.0,2999.490289088979
19,1497.3,300.0,410.0,340.0,23.78992925,278.7042715072632,789.31994587183,8004.386200877664
20,1996.4,400.0,340.0,320.0,23.44221012,277.1912607765198,865.5324190855026,1295.6928793552224
21,1996.4,200.0,90.0,19.99999999999999,23.44221012,276.3786735534668,967.1189337968826,1164.2012805630784
22,1996.4,300.0,80.0,0.0,23.44221012,276.91263184547427,685.8104065060616,100000.0
23,998.2,300.0,59.999999999999986,0.0,23.44221012,277.87094930648806,594.7489276528358,8852.355029360751
