,nwk_choice,ice_1,ice_2,tro_1,tro_2,fir_1,fir_2,fir_3,p1_m_coeff,p1_p_coeff,p1_cst,p1_max_m,p1_max_p,p2_m_coeff,p2_p_coeff,p2_cst,p2_max_m,p2_max_p,p3_m_coeff,p3_p_coeff,p3_cst,p3_max_m,p3_max_p
0,0,1,0,1,0,1,0,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.09142567158704204,1.416679275762916,17.962049853158348,538.0501790237382,65,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40
1,0,1,0,1,0,0,1,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.09142567158704204,1.416679275762916,17.962049853158348,538.0501790237382,65,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
2,0,1,0,1,0,0,0,1,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.09142567158704204,1.416679275762916,17.962049853158348,538.0501790237382,65,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
3,0,1,0,0,1,1,0,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.12527322017301293,2.5948534528640166,39.23951847798199,591.3660773697106,75,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40
4,0,1,0,0,1,0,1,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.12527322017301293,2.5948534528640166,39.23951847798199,591.3660773697106,75,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
5,0,1,0,0,1,0,0,1,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.12527322017301293,2.5948534528640166,39.23951847798199,591.3660773697106,75,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
6,0,0,1,1,0,1,0,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.09142567158704204,1.416679275762916,17.962049853158348,538.0501790237382,65,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40
7,0,0,1,1,0,0,1,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.09142567158704204,1.416679275762916,17.962049853158348,538.0501790237382,65,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
8,0,0,1,1,0,0,0,1,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.09142567158704204,1.416679275762916,17.962049853158348,538.0501790237382,65,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
9,0,0,1,0,1,1,0,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.12527322017301293,2.5948534528640166,39.23951847798199,591.3660773697106,75,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40
10,0,0,1,0,1,0,1,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.12527322017301293,2.5948534528640166,39.23951847798199,591.3660773697106,75,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
11,0,0,1,0,1,0,0,1,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.12527322017301293,2.5948534528640166,39.23951847798199,591.3660773697106,75,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40
12,1,1,0,0,0,1,0,0,0.09496269833202639,0.46430864879553563,0.8202322156776916,770.3312885326126,50,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40,0.0,0.0,0.0,0.0,0
13,1,1,0,0,0,0,1,0,0.09496269833202639,0.46430864879553563,0.8202322156776916,770.3312885326126,50,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
14,1,1,0,0,0,0,0,1,0.09496269833202639,0.46430864879553563,0.8202322156776916,770.3312885326126,50,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
15,1,0,1,0,0,1,0,0,0.08740852182317733,0.7045627191227026,6.325403554947314,1320.1913600480577,55,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40,0.0,0.0,0.0,0.0,0
16,1,0,1,0,0,0,1,0,0.08740852182317733,0.7045627191227026,6.325403554947314,1320.1913600480577,55,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
17,1,0,1,0,0,0,0,1,0.08740852182317733,0.7045627191227026,6.325403554947314,1320.1913600480577,55,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
18,1,0,0,1,0,1,0,0,0.09367328375439539,1.4108124804133164,12.694238795662017,1625.7898164677217,65,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40,0.0,0.0,0.0,0.0,0
19,1,0,0,1,0,0,1,0,0.09367328375439539,1.4108124804133164,12.694238795662017,1625.7898164677217,65,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
20,1,0,0,1,0,0,0,1,0.09367328375439539,1.4108124804133164,12.694238795662017,1625.7898164677217,65,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
21,1,0,0,0,1,1,0,0,0.08870190097928475,2.7502046781651215,32.37147619227903,2052.4144297262637,75,0.07820070392346237,0.3025242125375802,2.4113088991271994,140.25283774164126,40,0.0,0.0,0.0,0.0,0
22,1,0,0,0,1,0,1,0,0.08870190097928475,2.7502046781651215,32.37147619227903,2052.4144297262637,75,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
23,1,0,0,0,1,0,0,1,0.08870190097928475,2.7502046781651215,32.37147619227903,2052.4144297262637,75,0.07578268999378492,0.857941661725993,6.588874787722553,137.40345446579647,40,0.0,0.0,0.0,0.0,0
24,2,1,0,1,0,0,0,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.08870277786476839,1.4150326664684438,17.553831076149876,717.7403048885648,65,0.0,0.0,0.0,0.0,0
25,2,0,1,1,0,0,0,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.08870277786476839,1.4150326664684438,17.553831076149876,717.7403048885648,65,0.0,0.0,0.0,0.0,0
26,2,1,0,0,1,0,0,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.11318317999207202,2.608229481521041,38.653278590665195,792.3005726123923,75,0.0,0.0,0.0,0.0,0
27,2,0,1,0,1,0,0,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.11318317999207202,2.608229481521041,38.653278590665195,792.3005726123923,75,0.0,0.0,0.0,0.0,0
28,2,1,0,0,0,1,0,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.06879474577448183,0.3392576550773106,1.470550790154654,441.9196933379652,40,0.0,0.0,0.0,0.0,0
29,2,0,1,0,0,1,0,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.06879474577448183,0.3392576550773106,1.470550790154654,441.9196933379652,40,0.0,0.0,0.0,0.0,0
30,2,1,0,0,0,0,1,0,0.09481461286380682,0.45639016333278076,1.2282979233901798,728.7372725907118,50,0.05628912014012349,0.8758631395388049,5.7580210952360815,524.3606972531884,40,0.0,0.0,0.0,0.0,0
31,2,0,1,0,0,0,1,0,0.08342503415544902,0.7369311100200078,6.948187795565744,1140.1479694554569,55,0.05628912014012349,0.8758631395388049,5.7580210952360815,524.3606972531884,40,0.0,0.0,0.0,0.0,0
