,dist_pump
0,176.13636625352052
1,175.45124977053754
2,181.5390068971325
3,430.44427847906485
4,271.8687007681672
5,258.24904830344457
6,283.67440016128614
7,133.24578450039166
8,200.0894316142154
9,157.44498871656845
10,214.2878228513573
11,325.80905674027986
12,495.4980240255377
13,329.28803489533016
14,493.0755487881819
15,495.62131309348763
16,493.3832912499694
17,495.5227703348065
18,493.2519086138476
19,327.9345244949942
20,497.4566635468598
21,484.8827185495683
22,487.41877180593923
23,208.8825026820809
