,gv2_req_flow,hsb_req_flow,pfa_req_flow,ser_req_flow,cp_flow,req_dt_evap,req_cond_flow
0,285.71428571428567,39.63177675860505,14.311474940607377,0.0,70.56905153650195,1.7773406745535223,1476
1,285.71428571428567,39.63177675860505,17.173769928728852,0.0,67.70675654838044,1.7982727281933,1476
2,59.764089131865916,26.421184505736697,14.311474940607377,0.0,117.89356492178999,1.3934604192365407,407
3,9.436435126084094,39.63177675860505,14.311474940607377,0.0,155.01062667470347,1.4409779508919525,407
4,8.387942330480579,26.421184505736697,14.311474940607377,0.0,169.26971172317533,1.0405866174317826,407
5,9.436435126084094,26.421184505736697,17.173769928728852,0.0,165.35892393945034,1.087107106344262,407
6,8.387942330480579,26.421184505736697,11.449179952485903,0.0,172.1320067112968,1.0012676347042615,407
7,9.436435126084094,26.421184505736697,14.311474940607377,123.07868448922345,45.14253443834838,2.73850438090015,407
8,466.57929226894123,39.63177675860505,120.21638950110196,103.04261957237311,90.98309979897863,1.9833581712972606,1476
9,285.71428571428567,26.421184505736697,97.31802959613016,97.31802959613016,121.84537303771737,1.883845790369422,1883
10,571.4285714285713,39.63177675860505,105.90491456049457,85.86884964364425,17.6190655086848,2.059923398690521,1476
11,857.142857142857,26.421184505736697,111.62950453673754,111.62950453673754,123.85671612793135,1.7284992160607078,2952
12,1142.8571428571427,39.63177675860505,120.21638950110196,103.04261957237311,43.32215166077731,1.8230100298523995,3359
13,857.142857142857,39.63177675860505,123.07868448922345,105.90491456049457,104.92153389882014,1.8122274306198185,2952
14,1142.8571428571427,26.421184505736697,114.49179952485902,100.18032458425164,65.11962887801019,1.7459747600952769,3359
15,1142.8571428571427,39.63177675860505,134.52786444170934,105.90491456049457,26.148381732048392,1.8585647697403023,3359
16,1142.8571428571427,26.421184505736697,134.52786444170934,108.76720954861607,36.496678996795254,1.8052326599084483,3359
17,1142.8571428571427,39.63177675860505,120.21638950110196,105.90491456049457,40.45985667265586,1.8289358198337167,3359
18,1142.8571428571427,26.421184505736697,125.94097947734491,103.04261957237311,50.80815393740295,1.7756037100018627,3359
19,857.142857142857,39.63177675860505,117.3540945129805,97.31802959613016,119.23300883942738,1.7773406745535225,2952
20,1142.8571428571427,52.842369011473394,97.31802959613016,91.59343961988722,64.4590992653666,1.8111584498897653,3359
21,1142.8571428571427,26.421184505736697,25.760654893093278,5.724589976242951,29.91619461778464,1.6092562838261075,2952
22,1142.8571428571427,39.63177675860505,22.898359904971805,0.0,25.292487329280448,1.6580977423189223,2952
23,571.4285714285713,39.63177675860505,17.173769928728852,0.0,0.38278433409482204,1.855296463258465,1883
