,evap_flow,T_evap_in,cond_flow
0,412.22658895,281.9273406745535,1
1,412.22658895,281.9482727281933,1
2,220.3903135,281.5434604192365,0
3,220.3903135,281.59097795089195,0
4,220.3903135,281.19058661743173,0
5,220.3903135,281.23710710634424,0
6,220.3903135,281.15126763470425,0
7,220.3903135,282.88850438090014,0
8,630.61690245,282.73862354513955,2
9,412.22658895,283.03673951746174,1
10,630.61690245,282.8385543358749,2
11,1040.8434914,282.19768959889734,2
12,1232.67976685,282.29651232724706,3
13,1040.8434914,282.2968793425165,2
14,1232.67976685,282.20580676147466,3
15,1232.67976685,282.3383764345266,3
16,1232.67976685,282.27558027360726,3
17,1232.67976685,282.3034896784603,3
18,1232.67976685,282.240693517541,3
19,1040.8434914,282.2555502826752,2
20,1232.67976685,282.2825576248205,3
21,1040.8434914,282.05642687235974,2
22,1040.8434914,282.1142875561376,2
23,630.61690245,282.00529646325845,2
