,Name,Type,Lower_bound,Upper_bound,Bin_dec_prec,Steps,Bits,Bin_sz
0,chiller_evap_return_temp_time_step_0,continuous,275.16,288.15,2,-,11,-
1,total_evap_nwk_flowrate_time_step_0,continuous,0.01,1860.0,2,-,18,-
