,Total_demand,Required_flow,Ret_temp,Elect_cons,COP,Cooling_load,Tout_cond,Heat_rejected
0,293.07688145,218.3903135,0,0,0,0,0,0
1,230.02561728,218.3903135,0,0,0,0,0,0
2,221.63225309,218.3903135,0,0,0,0,0,0
3,217.63595679,218.3903135,0,0,0,0,0,0
4,293.86388889,218.3903135,0,0,0,0,0,0
5,217.162166467,218.3903135,0,0,0,0,0,0
6,119.025179213,218.3903135,0,0,0,0,0,0
7,222.32345679,218.3903135,0,0,0,0,0,0
8,1174.1712963,410.22658895,7.457781655643888,502.86903726921287,2.3335166438099653,1173.4532681244018,24.543000000000006,1849.789261932672
9,846.5781022,218.3903135,0,0,0,0,0,0
10,1182.5218978,410.22658895,7.47526117949613,502.8531703288732,2.350769421302785,1182.091856214276,24.406000000000006,1859.3042680503668
11,2387.3,1038.8434914,0,0,0,0,0,0
12,2347.3,1038.8434914,0,0,0,0,0,0
13,2467.3,1038.8434914,0,0,0,0,0,0
14,2337.3,1038.8434914,0,0,0,0,0,0
15,1928.2,820.4531779,0,0,0,0,0,0
16,2307.3,1038.8434914,0,0,0,0,0,0
17,2327.3,1038.8434914,0,0,0,0,0,0
18,1898.2,628.61690245,7.592934580000897,508.52929688620134,2.4389131564382005,1240.258792610024,24.567000000000007,1929.7538539799425
19,2237.3,820.4531779,0,0,0,0,0,0
20,2287.3,820.4531779,0,0,0,0,0,0
21,1827.3,820.4531779,0,0,0,0,0,0
22,1204.401550388,628.61690245,6.645208317462721,469.41831266800904,1.6775638587635762,787.4791959736322,24.41900000000004,1386.9621058876903
23,772.8984496100001,410.22658895,6.617835180533753,463.9780572823607,1.6653085996788226,772.6666488545889,23.28800000000001,1364.6135297954424
