,evap_flow,T_evap_in,cond_flow
0,412.22658895,281.9273406745535,1
1,412.22658895,281.9482727281933,1
2,220.3903135,281.5434604192365,0
3,220.3903135,281.59097795089195,0
4,220.3903135,281.19058661743173,0
5,220.3903135,281.23710710634424,0
6,220.3903135,281.15126763470425,0
7,220.3903135,282.88850438090014,0
8,822.4531779,282.13335817129723,1
9,630.61690245,282.0338457903694,2
10,822.4531779,282.2099233986905,1
11,1232.67976685,281.8784992160607,3
12,1451.0700803500001,281.9730100298524,4
13,1232.67976685,281.9622274306198,3
14,1451.0700803500001,281.89597476009527,4
15,1451.0700803500001,282.0085647697403,4
16,1451.0700803500001,281.9552326599084,4
17,1451.0700803500001,281.9789358198337,4
18,1451.0700803500001,281.92560371000184,4
19,1232.67976685,281.9273406745535,3
20,1451.0700803500001,281.96115844988975,4
21,1232.67976685,281.75925628382606,3
22,1232.67976685,281.8080977423189,3
23,630.61690245,282.00529646325845,2
