,chiller_evap_return_temp_time_step_0,chiller_cond_entry_temp_time_step_0,total_evap_nwk_flowrate_time_step_0,total_cond_nwk_flowrate_time_step_0,sp1_temp_t_inout_time_step_0,sp2_temp_t_inout_time_step_0,ch1_1_evap_m_perc_time_step_0,ch1_1_evap_t_out_time_step_0,ch1_2_evap_m_perc_time_step_0,ch1_2_evap_t_out_time_step_0,ch1_3_evap_m_perc_time_step_0,ch1_3_evap_t_out_time_step_0,ch1_4_evap_m_perc_time_step_0,ch1_4_evap_t_out_time_step_0,gv2_ss_m_perc_time_step_0,gv2_ss_t_in_time_step_0,cp_nwk_m_perc_time_step_0,cp_nwk_tinout_time_step_0,ch_evap_ret_t_in_time_step_0,ch_e_f_c_mass_flow_time_step_0,sp1_temp_y_time_step_0,sp2_temp_y_time_step_0,ch_evap_ret_y_time_step_0,ch_e_f_c_y_time_step_0,ch1_1_evap_y_time_step_0,ch1_2_evap_y_time_step_0,ch1_3_evap_y_time_step_0,ch1_4_evap_y_time_step_0,gv2_ss_y_time_step_0,cp_nwk_y_time_step_0,Obj_Value_time_step_0,chiller_evap_return_temp_time_step_1,chiller_cond_entry_temp_time_step_1,total_evap_nwk_flowrate_time_step_1,total_cond_nwk_flowrate_time_step_1,sp1_temp_t_inout_time_step_1,sp2_temp_t_inout_time_step_1,ch1_1_evap_m_perc_time_step_1,ch1_1_evap_t_out_time_step_1,ch1_2_evap_m_perc_time_step_1,ch1_2_evap_t_out_time_step_1,ch1_3_evap_m_perc_time_step_1,ch1_3_evap_t_out_time_step_1,ch1_4_evap_m_perc_time_step_1,ch1_4_evap_t_out_time_step_1,gv2_ss_m_perc_time_step_1,gv2_ss_t_in_time_step_1,cp_nwk_m_perc_time_step_1,cp_nwk_tinout_time_step_1,ch_evap_ret_t_in_time_step_1,ch_e_f_c_mass_flow_time_step_1,sp1_temp_y_time_step_1,sp2_temp_y_time_step_1,ch_evap_ret_y_time_step_1,ch_e_f_c_y_time_step_1,ch1_1_evap_y_time_step_1,ch1_2_evap_y_time_step_1,ch1_3_evap_y_time_step_1,ch1_4_evap_y_time_step_1,gv2_ss_y_time_step_1,cp_nwk_y_time_step_1,Obj_Value_time_step_1,Obj_Value_Overall
0,286.0,292.0,64.5,3800.0,0.07335830762866487,0.42833333333333407,0.0,0.0,1.0,0.10132904884893823,0.0,0.0,0.0,0.0,0.3233583076286649,0.30018730721498665,0.6766416923713352,0.07335830762866485,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,132.93716257683542,282.0,291.0,239.0,134.0,0.07952006751700784,0.29500000000000076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1765098121669127,0.5295200675170078,0.34640050637755904,0.4704799324829922,0.07952006751700785,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,422.63263345955215,548.0
1,286.0,289.0,64.8,3820.0,0.07498421776877562,0.42833333333333407,0.0,0.0,1.0,0.10544527705175155,0.0,0.0,0.0,0.0,0.5876183667341766,0.31238163326582347,0.41238163326582344,0.07498421776877559,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,111.9684472128244,285.0,289.0,208.0,1050.0,0.14705882352941177,0.39500000000000074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3144483599891567,0.8529411764705883,0.8529411764705883,0.14705882352941166,0.14705882352941166,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,361.0646846251778,480.0
2,286.0,289.0,64.5,3820.0,0.07335830762866481,0.42833333333333407,0.0,0.0,1.0,0.10132904884896266,0.0,0.0,0.0,0.0,0.7733583076286646,0.30018730721498665,0.2266416923713353,0.0733583076286648,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,111.9632008037184,282.0,290.0,243.0,135.0,0.08311882548231478,0.29500000000000076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1902630273209449,0.4831188254823145,0.37339119111736124,0.5168811745176854,0.08311882548231475,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,410.7094717317186,525.0
3,286.0,289.0,77.5,3400.0,0.13300402530372785,0.42833333333333407,0.0,0.0,1.0,0.2523308657478289,0.0,0.0,0.0,0.0,0.7830040253037278,0.7475301897779683,0.21699597469627213,0.13300402530372785,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,111.92678571613347,283.0,290.0,245.0,420.0,0.11817869900163319,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2876114090450812,0.768178699001633,0.6363402425122553,0.23182130099836695,0.11817869900163314,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,397.61201597600586,516.0
4,287.0,289.0,80.8,3390.0,0.14705882352941163,0.46166666666666745,0.0,0.0,1.0,0.26550698100251546,0.0,0.0,0.0,0.0,0.8529411764705883,0.8529411764705883,0.14705882352941171,0.14705882352941171,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,116.11375737279498,283.0,289.0,280.0,675.0,0.14443075829034324,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.376601440532236,0.8444307582903431,0.8332306871775804,0.15556924170965677,0.14443075829034321,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,385.95307147623555,515.0
5,288.0,289.0,64.4,3390.0,0.13958121737609483,0.4950000000000008,0.0,0.0,1.0,0.23013982103125352,0.0,0.0,0.0,0.0,0.8395812173760948,0.7968591303207126,0.16041878262390527,0.13958121737609483,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,97.74602452886376,283.0,290.0,304.0,418.0,0.14705882352941096,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38551013625788944,0.852941176470589,0.852941176470589,0.14705882352941096,0.14705882352941096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,441.82316400512474,501.0
6,287.0,291.0,61.2,3370.0,0.08767951932668833,0.46166666666666745,0.0,0.0,1.0,0.1268782552374026,0.0,0.0,0.0,0.0,0.8376795193266904,0.40759639495016775,0.16232048067331784,0.08767951932668981,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,118.73745634451814,282.0,289.0,242.0,169.0,0.08224696497653097,0.29500000000000076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18693107634343403,0.48224696497653113,0.36685223732398226,0.5177530350234689,0.082246964976531,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,398.93410185904116,514.0
7,287.0,289.0,66.0,3760.0,0.11485705883717154,0.46166666666666745,0.0,0.0,1.0,0.19032776382218813,0.0,0.0,0.0,0.0,0.6648570588371715,0.6114279412787856,0.3351429411628285,0.11485705883717158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.81437942226812,283.0,290.0,241.0,922.0,0.11468943907171135,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.27578340928263473,0.7646894390717113,0.6101707930378341,0.23531056092828873,0.11468943907171135,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,397.6155961128762,498.0
8,287.0,290.0,64.4,3390.0,0.10622722371092784,0.46166666666666745,0.0,0.0,1.0,0.1701802888192836,0.0,0.0,0.0,0.0,0.5562272237109276,0.5467041778319588,0.4437727762890724,0.10622722371092785,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,111.78329046742824,283.0,290.0,243.0,35.5,0.11644855364168118,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2817465095198229,0.7164485536416809,0.623364152312609,0.2835514463583191,0.11644855364168118,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,397.61343351328213,501.0
9,288.0,290.0,66.0,3740.0,0.14705882352941177,0.4950000000000008,0.0,0.0,1.0,0.24633680186876417,0.0,0.0,0.0,0.0,0.8529411764705883,0.8529411764705883,0.14705882352941174,0.14705882352941174,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,105.0198644160524,283.0,290.0,241.0,922.0,0.11468943907171135,0.3283333333333341,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.27578340928263473,0.7646894390717113,0.6101707930378341,0.23531056092828873,0.11468943907171135,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,397.6155961128762,506.0
