,Name,Value,Unit
0,chiller_evap_flow_consol_4nc_tenwkflow,590,m3/h
1,chiller_ret_4nc_etret,288,K
2,chiller1_evap_4nc_etret,288,K
3,chiller1_evap_4nc_ctin,300.62434912,K
4,chiller1_evap_4nc_tenwkflow,590,m3/h
5,chiller1_evap_4nc_piecewise_steps,1,-
6,chiller1_evap_nwk_4nc_piecewise_steps,1,-
7,chiller1_evap_nwk_4nc_tenwkflow,590,m3/h
8,chiller1_evap_pump_4nc_piecewise_steps,1,-
9,chiller2_evap_4nc_etret,288,K
10,chiller2_evap_4nc_ctin,300.62434912,K
11,chiller2_evap_4nc_tenwkflow,590,m3/h
12,chiller2_evap_4nc_piecewise_steps,1,-
13,chiller2_evap_nwk_4nc_piecewise_steps,1,-
14,chiller2_evap_nwk_4nc_tenwkflow,590,m3/h
15,chiller2_evap_pump_4nc_piecewise_steps,1,-
16,chiller3_evap_4nc_etret,288,K
17,chiller3_evap_4nc_ctin,300.62434912,K
18,chiller3_evap_4nc_tenwkflow,590,m3/h
19,chiller3_evap_4nc_piecewise_steps,1,-
20,chiller3_evap_nwk_4nc_piecewise_steps,1,-
21,chiller3_evap_nwk_4nc_tenwkflow,590,m3/h
22,chiller3_evap_pump_4nc_piecewise_steps,1,-
23,cp_nwk_4nc_tenwkflow,590,m3/h
24,dist_nwk_pump_4nc_nwk_choice,3,-
25,dist_nwk_pump_4nc_piecewise_steps,1,-
26,gv2_nwk_4nc_piecewise_steps,1,-
27,gv2_nwk_4nc_tenwkflow,590,m3/h
28,gv2_substation_4nc_demand,499.1,kWh
29,gv2_substation_4nc_tenwkflow,590,m3/h
30,hsb_nwk_4nc_piecewise_steps,1,-
31,hsb_nwk_4nc_tenwkflow,590,m3/h
32,hsb_substation_4nc_demand,300,kWh
33,hsb_substation_4nc_tenwkflow,590,m3/h
34,ice_nwk_4nc_piecewise_steps,1,-
35,ice_nwk_4nc_tenwkflow,590,m3/h
36,pfa_nwk_4nc_piecewise_steps,1,-
37,pfa_nwk_4nc_tenwkflow,590,m3/h
38,pfa_substation_4nc_demand,50,kWh
39,pfa_substation_4nc_tenwkflow,590,m3/h
40,ser_nwk_4nc_piecewise_steps,1,-
41,ser_nwk_4nc_tenwkflow,590,m3/h
42,ser_substation_4nc_demand,0.01,kWh
43,ser_substation_4nc_tenwkflow,590,m3/h
44,tro_nwk_4nc_piecewise_steps,1,-
45,tro_nwk_4nc_tenwkflow,590,m3/h
