,Name,Type,Lower_bound,Upper_bound,Interval,Dec_prec
0,v0,continuous,-5.12,5.12,1024,2
1,v1,continuous,-5.12,5.12,1024,2
2,v2,continuous,-5.12,5.12,1024,2
3,v3,continuous,-5.12,5.12,1024,2
