,Name,Type,Lower_bound,Upper_bound,Interval,Dec_prec
0,chiller_evap_return_temperature,continuous,275.15,288.15,1300.0,2
1,total_evap_nwk_flowrate_time_step_0,continuous,0.01,1860.0,185999.0,2
