,Name,Values
167,ep3_2_time2_y,0.0
168,ep3_3_time2_y,0.0
169,ep3_4_time2_y,0.0
170,cp1_1_time2_y,1.0
171,cp1_2_time2_y,0.0
172,cp1_3_time2_y,0.0
173,cp1_4_time2_y,0.0
174,cp2_1_time2_y,0.0
175,cp2_2_time2_y,0.0
176,cp2_3_time2_y,0.0
177,cp2_4_time2_y,0.0
178,cp3_1_time2_y,0.0
179,cp3_2_time2_y,0.0
180,cp3_3_time2_y,0.0
181,cp3_4_time2_y,0.0
182,dist_np_combi_0_0_time2_y,0.0
183,dist_np_combi_0_1_time2_y,0.0
184,dist_np_combi_0_2_time2_y,0.0
185,dist_np_combi_0_3_time2_y,0.0
186,dist_np_combi_1_0_time2_y,0.0
187,dist_np_combi_1_1_time2_y,0.0
188,dist_np_combi_1_2_time2_y,0.0
189,dist_np_combi_1_3_time2_y,0.0
190,dist_np_combi_2_0_time2_y,0.0
191,dist_np_combi_2_1_time2_y,0.0
192,dist_np_combi_2_2_time2_y,0.0
193,dist_np_combi_2_3_time2_y,0.0
194,dist_np_combi_3_0_time2_y,0.0
195,dist_np_combi_3_1_time2_y,0.0
196,dist_np_combi_3_2_time2_y,0.0
197,dist_np_combi_3_3_time2_y,0.0
198,dist_np_combi_4_0_time2_y,0.0
199,dist_np_combi_4_1_time2_y,0.0
200,dist_np_combi_4_2_time2_y,0.0
201,dist_np_combi_4_3_time2_y,0.0
202,dist_np_combi_5_0_time2_y,1.0
203,dist_np_combi_5_1_time2_y,0.0
204,dist_np_combi_5_2_time2_y,0.0
205,dist_np_combi_5_3_time2_y,0.0
206,dist_np_combi_6_0_time2_y,0.0
207,dist_np_combi_6_1_time2_y,0.0
208,dist_np_combi_6_2_time2_y,0.0
209,dist_np_combi_6_3_time2_y,0.0
210,enwk_1_time2_y,0.0
211,enwk_2_time2_y,0.0
212,enwk_3_time2_y,0.0
213,enwk_4_time2_y,0.0
214,cnwk_1_time2_y,0.0
215,cnwk_2_time2_y,0.0
216,cnwk_3_time2_y,0.0
217,cnwk_4_time2_y,0.0
218,cts_time2_y,1.0
219,ch1_1_time3_y,0.0
220,ch1_2_time3_y,0.0
221,ch1_3_time3_y,0.0
222,ch1_4_time3_y,0.0
223,ch2_1_time3_y,0.0
224,ch2_2_time3_y,0.0
225,ch2_3_time3_y,0.0
226,ch2_4_time3_y,0.0
227,ch3_1_time3_y,0.0
228,ch3_2_time3_y,0.0
229,ch3_3_time3_y,0.0
230,ch3_4_time3_y,0.0
231,ep1_1_time3_y,0.0
232,ep1_2_time3_y,0.0
233,ep1_3_time3_y,0.0
234,ep1_4_time3_y,0.0
235,ep2_1_time3_y,0.0
236,ep2_2_time3_y,0.0
237,ep2_3_time3_y,0.0
238,ep2_4_time3_y,0.0
239,ep3_1_time3_y,0.0
240,ep3_2_time3_y,0.0
241,ep3_3_time3_y,0.0
242,ep3_4_time3_y,0.0
243,cp1_1_time3_y,0.0
244,cp1_2_time3_y,0.0
245,cp1_3_time3_y,0.0
246,cp1_4_time3_y,0.0
247,cp2_1_time3_y,0.0
248,cp2_2_time3_y,0.0
249,cp2_3_time3_y,0.0
250,cp2_4_time3_y,0.0
251,cp3_1_time3_y,0.0
252,cp3_2_time3_y,0.0
253,cp3_3_time3_y,0.0
254,cp3_4_time3_y,0.0
255,dist_np_combi_0_0_time3_y,0.0
256,dist_np_combi_0_1_time3_y,0.0
257,dist_np_combi_0_2_time3_y,0.0
258,dist_np_combi_0_3_time3_y,0.0
259,dist_np_combi_1_0_time3_y,0.0
260,dist_np_combi_1_1_time3_y,0.0
261,dist_np_combi_1_2_time3_y,0.0
262,dist_np_combi_1_3_time3_y,0.0
263,dist_np_combi_2_0_time3_y,0.0
264,dist_np_combi_2_1_time3_y,0.0
265,dist_np_combi_2_2_time3_y,0.0
266,dist_np_combi_2_3_time3_y,0.0
267,dist_np_combi_3_0_time3_y,0.0
268,dist_np_combi_3_1_time3_y,0.0
269,dist_np_combi_3_2_time3_y,0.0
270,dist_np_combi_3_3_time3_y,0.0
