,dist_pump,ep_1,ep_2,ep_3,cp_1,cp_2,cp_3
0,15.69397638,0,0,34.59563411,0,0,106.3142019
1,16.78302439,0,0,37.30231929,0,0,106.3142019
2,37.15790848,0,29.4318024,0,0,106.3142019,0
3,37.05586801,0,29.90768338,0,0,106.3142019,0
4,36.01344269,0,35.19156251,0,0,106.3142019,0
5,35.98614608,0,0,35.34002408,0,0,125.6538182
6,37.06927849,0,0,29.84472339,0,0,125.6538182
7,36.0214459,0,17.43267435,0,0,106.3142019,0
8,22.06929721,0,27.76471248,0,0,106.3142019,0
9,14.50507175,0,18.8422529,0,0,106.3142019,0
10,27.94542226,0,0,37.00005805,0,0,106.3142019
11,30.99600918,0,0,19.93188283,0,0,106.3142019
12,37.15176417,0,0,34.63268452,0,0,106.3142019
13,33.82794833,0,0,37.29385578,0,0,106.3142019
14,36.6910733,0,0,34.50627002,0,0,106.3142019
15,39.23415567,0,0,36.98276031,0,0,106.3142019
16,42.33378133,0,33.56848587,33.56848587,0,102.842469,101.2666847
17,39.95083406,5.393459571,36.51703763,0,32.0435154,105.5263097,0
18,37.75368739,0,0,36.5486541,0,0,106.3142019
19,33.89645979,0,37.37696029,0,0,106.3142019,0
20,35.89545656,0,0,27.2737697,0,0,125.6538182
21,29.65596326,0,33.18399877,0,0,106.3142019,0
22,32.86410556,0,36.22589543,0,0,106.3142019,0
23,22.07705992,0,36.90012647,0,0,106.3142019,0
