,nwk_choice,ice_1,ice_2,tro_1,tro_2,fir_1,fir_2,fir_3,p1_m_coeff,p1_p_coeff,p1_cst,p1_max_m,p2_m_coeff,p2_p_coeff,p2_cst,p2_max_m,p3_m_coeff,p3_p_coeff,p3_cst,p3_max_m
0,0,1,0,1,0,1,0,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.08602976292566313,1.618370288853825,9.745553374694111,273.29919264460653,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003
1,0,1,0,1,0,0,1,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.08602976292566313,1.618370288853825,9.745553374694111,273.29919264460653,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
2,0,1,0,1,0,0,0,1,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.08602976292566313,1.618370288853825,9.745553374694111,273.29919264460653,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
3,0,1,0,0,1,1,0,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.1290449658794413,2.9021061626460773,22.549378328543355,310.9325016029099,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003
4,0,1,0,0,1,0,1,0,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.1290449658794413,2.9021061626460773,22.549378328543355,310.9325016029099,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
5,0,1,0,0,1,0,0,1,0.09591706509748839,0.4346301803432778,2.170201901098949,441.84725367182136,0.1290449658794413,2.9021061626460773,22.549378328543355,310.9325016029099,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
6,0,0,1,1,0,1,0,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.08602976292566313,1.618370288853825,9.745553374694111,273.29919264460653,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003
7,0,0,1,1,0,0,1,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.08602976292566313,1.618370288853825,9.745553374694111,273.29919264460653,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
8,0,0,1,1,0,0,0,1,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.08602976292566313,1.618370288853825,9.745553374694111,273.29919264460653,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
9,0,0,1,0,1,1,0,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.1290449658794413,2.9021061626460773,22.549378328543355,310.9325016029099,0.0705958341917439,0.37665014479066344,0.4279435797365245,58.70364552549003
10,0,0,1,0,1,0,1,0,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.1290449658794413,2.9021061626460773,22.549378328543355,310.9325016029099,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
11,0,0,1,0,1,0,0,1,0.06836565435749703,0.8668195100069599,6.303680467460957,511.17972996346987,0.1290449658794413,2.9021061626460773,22.549378328543355,310.9325016029099,0.05384358234113184,1.072031517331963,1.1180770681511731,56.263393791251545
