,Parent,Variable,Type,Name,Layer,Flow_min,Flow_grad,InOut
452,cp_nwk,cp_nwk_u8,flow,cp_nwk_flow_in_u,evap_nwk_flow,0.0,377.5,in
453,cp_nwk,cp_nwk_v8,flow,cp_nwk_flow_in_v,evap_nwk_flow,0.0,377.5,in
454,cp_nwk,cp_nwk_u8,balancing_only,cp_nwk_flow_out_u,evapnwk_consol_flow,0.0,377.5,out
455,cp_nwk,cp_nwk_v8,balancing_only,cp_nwk_flow_out_v,evapnwk_consol_flow,0.0,377.5,out
456,cp_nwk,cp_nwk_u9,temp_chil,cp_nwk_tin_u,sp12cp_temp,273.15,15.0,in
457,cp_nwk,cp_nwk_v9,temp_chil,cp_nwk_tin_v,sp12cp_temp,0.0,-15.0,in
458,cp_nwk,cp_nwk_u9,temp_chil,cp_nwk_tout_u,ss2sp2_temp,-18.74999999999999,160.325,out
459,cp_nwk,cp_nwk_v9,temp_chil,cp_nwk_tout_v,ss2sp2_temp,2.499999999999999,127.82499999999999,out
460,cp_nwk,cp_nwk_u9,flow,cp_nwk_flow_in_u,evap_nwk_flow,0.0,377.5,in
461,cp_nwk,cp_nwk_v9,flow,cp_nwk_flow_in_v,evap_nwk_flow,0.0,377.5,in
462,cp_nwk,cp_nwk_u9,balancing_only,cp_nwk_flow_out_u,evapnwk_consol_flow,0.0,377.5,out
463,cp_nwk,cp_nwk_v9,balancing_only,cp_nwk_flow_out_v,evapnwk_consol_flow,0.0,377.5,out
464,cp_nwk,cp_nwk_u10,temp_chil,cp_nwk_tin_u,sp12cp_temp,273.15,15.0,in
465,cp_nwk,cp_nwk_v10,temp_chil,cp_nwk_tin_v,sp12cp_temp,0.0,-15.0,in
466,cp_nwk,cp_nwk_u10,temp_chil,cp_nwk_tout_u,ss2sp2_temp,-22.916666666666657,162.825,out
467,cp_nwk,cp_nwk_v10,temp_chil,cp_nwk_tout_v,ss2sp2_temp,4.166666666666666,125.32499999999999,out
468,cp_nwk,cp_nwk_u10,flow,cp_nwk_flow_in_u,evap_nwk_flow,0.0,377.5,in
469,cp_nwk,cp_nwk_v10,flow,cp_nwk_flow_in_v,evap_nwk_flow,0.0,377.5,in
470,cp_nwk,cp_nwk_u10,balancing_only,cp_nwk_flow_out_u,evapnwk_consol_flow,0.0,377.5,out
471,cp_nwk,cp_nwk_v10,balancing_only,cp_nwk_flow_out_v,evapnwk_consol_flow,0.0,377.5,out
472,cp_nwk,cp_nwk_u11,temp_chil,cp_nwk_tin_u,sp12cp_temp,273.15,15.0,in
473,cp_nwk,cp_nwk_v11,temp_chil,cp_nwk_tin_v,sp12cp_temp,0.0,-15.0,in
474,cp_nwk,cp_nwk_u11,temp_chil,cp_nwk_tout_u,ss2sp2_temp,-27.500000000000007,165.325,out
475,cp_nwk,cp_nwk_v11,temp_chil,cp_nwk_tout_v,ss2sp2_temp,6.249999999999999,122.82499999999999,out
