,Parent,Type,Name,Layer,Stream_coeff_v1_2,Stream_coeff_v1_1,Stream_coeff_v2_2,Stream_coeff_v2_1,Stream_coeff_v1_v2,Stream_coeff_cst,InOut
49,dist_np_combi_4_0,flow,dist_np_combi_4_0_flow_in,distnwk_consol_flow,0,1.0,0,0,0.0,0,in
50,dist_np_combi_4_0,pressure,dist_np_combi_4_0_delp_in,paranwk2distpump_delp,0,0.0,0,1,0.0,0,in
51,dist_np_combi_4_0,balancing_only,dist_np_combi_4_0_flow_out,evapnwk_consol_flow,0,1.0,0,0,0.0,0,out
52,dist_np_combi_5_0,flow,dist_np_combi_5_0_flow_in,distnwk_consol_flow,0,1.0,0,0,0.0,0,in
53,dist_np_combi_5_0,pressure,dist_np_combi_5_0_delp_in,paranwk2distpump_delp,0,0.0,0,1,0.0,0,in
54,dist_np_combi_5_0,balancing_only,dist_np_combi_5_0_flow_out,evapnwk_consol_flow,0,1.0,0,0,0.0,0,out
55,dist_np_combi_6_0,flow,dist_np_combi_6_0_flow_in,distnwk_consol_flow,0,1.0,0,0,0.0,0,in
56,dist_np_combi_6_0,pressure,dist_np_combi_6_0_delp_in,paranwk2distpump_delp,0,0.0,0,1,0.0,0,in
57,dist_np_combi_6_0,balancing_only,dist_np_combi_6_0_flow_out,evapnwk_consol_flow,0,1.0,0,0,0.0,0,out
58,gv2_ss,temp_chil,gv2_ss_tin,sp12gv2_temp,0,0.0,0,4.0,0.0,274.15,in
59,gv2_ss,flow,gv2_ss_mfin,gv2nwk2ss_flow,0,755.0,0,0,0.0,0,in
60,gv2_ss,temp_chil,gv2_ss_tout,sp22chilret_temp,0,274.15,0,0,4.0,0.5676442762535477,out
61,gv2_ss,flow,gv2_ss_flow_out,distnwk_consol_flow,0,755.0,0,0,0.0,0,out
62,hsb_ss,temp_chil,hsb_ss_tin,sp12hsb_temp,0,0.0,0,4.0,0.0,274.15,in
63,hsb_ss,flow,hsb_ss_mfin,hsbnwk2ss_flow,0,755.0,0,0,0.0,0,in
64,hsb_ss,temp_chil,hsb_ss_tout,sp22chilret_temp,0,274.15,0,0,4.0,0.34120072706083815,out
65,hsb_ss,flow,hsb_ss_flow_out,distnwk_consol_flow,0,755.0,0,0,0.0,0,out
66,ch_e_f_c,balancing_only,ch_e_f_c_flow_in,evapnwk_consol_flow,0,755.0,0,0,0.0,0,in
67,ch_evap_ret,temp_chil,ch_evap_tin,sp22chilret_temp,0,275.0,0,0,0.0,0,in
