,Name,Value,Unit
0,chiller_evap_flow_consol_tenwkflow,755,m3/h
1,chiller_ret_etret,275,K
2,chiller1_evap_etret,275,K
3,chiller1_evap_ctin,300.62434912,K
4,chiller1_evap_tenwkflow,755,m3/h
5,chiller1_evap_piecewise_steps,4,-
6,chiller1_evap_nwk_piecewise_steps,4,-
7,chiller1_evap_nwk_tenwkflow,755,m3/h
8,chiller1_evap_pump_piecewise_steps,4,-
9,chiller2_evap_etret,275,K
10,chiller2_evap_ctin,300.62434912,K
11,chiller2_evap_tenwkflow,755,m3/h
12,chiller2_evap_piecewise_steps,4,-
13,chiller2_evap_nwk_piecewise_steps,4,-
14,chiller2_evap_nwk_tenwkflow,755,m3/h
15,chiller2_evap_pump_piecewise_steps,4,-
16,cp_nwk_tenwkflow,755,m3/h
17,dist_nwk_pump_choice,0,-
18,dist_nwk_pump_piecewise_steps,4,-
19,gv2_nwk_piecewise_steps,4,-
20,gv2_nwk_tenwkflow,755,m3/h
21,gv2_substation_demand,499.1,kWh
22,gv2_substation_tenwkflow,755,m3/h
23,hsb_nwk_piecewise_steps,4,-
24,hsb_nwk_tenwkflow,755,m3/h
25,hsb_substation_demand,300,kWh
26,hsb_substation_tenwkflow,755,m3/h
27,ice_nwk_piecewise_steps,4,-
28,ice_nwk_tenwkflow,755,m3/h
