,T_DB,T_WB,f0_c0,f0_c1,f0_c2,f0_c3,f1_c0,f1_c1,f1_c2,f1_c3,f2_c0,f2_c1,f2_c2,f2_c3,f3_c0,f3_c1,f3_c2,f3_c3,f4_c0,f4_c1,f4_c2,f4_c3
0,25.0,22.47434912,-9.483356071405195e-05,0.23855376908636666,3.2556223905633175e-07,-69.87687287080647,-0.0001404844808935648,0.11344235131865009,4.7652853267521333e-07,-32.89089142484947,-0.00011749475043865323,0.10947261636018676,3.984774475940256e-07,-31.71734111167484,-8.11248813601792e-05,0.10572054325936443,2.750766633780044e-07,-30.608136943607658,-7.245406593204649e-05,0.10513458007674906,2.4566643448686865e-07,-30.434911958841
1,25.0,22.47434912,-9.483356071405195e-05,0.23855376908636666,3.2556223905633175e-07,-69.87687287080647,-0.0001404844808935648,0.11344235131865009,4.7652853267521333e-07,-32.89089142484947,-0.00011749475043865323,0.10947261636018676,3.984774475940256e-07,-31.71734111167484,-8.11248813601792e-05,0.10572054325936443,2.750766633780044e-07,-30.608136943607658,-7.245406593204649e-05,0.10513458007674906,2.4566643448686865e-07,-30.434911958841
2,25.0,22.47434912,-9.483356071405195e-05,0.23855376908636666,3.2556223905633175e-07,-69.87687287080647,-0.0001404844808935648,0.11344235131865009,4.7652853267521333e-07,-32.89089142484947,-0.00011749475043865323,0.10947261636018676,3.984774475940256e-07,-31.71734111167484,-8.11248813601792e-05,0.10572054325936443,2.750766633780044e-07,-30.608136943607658,-7.245406593204649e-05,0.10513458007674906,2.4566643448686865e-07,-30.434911958841
3,24.0,22.07528905,-9.470364182414941e-05,0.23855376908636586,3.2556223905633175e-07,-69.7816755870165,-0.00014029431738395702,0.11344235131864938,4.7652853267521333e-07,-32.845621112192106,-0.0001173357340005226,0.10947261636018617,3.984774475940256e-07,-31.673654961727674,-8.10151092476372e-05,0.10572054325936409,2.750766633780044e-07,-30.565948096214527,-7.23560302675025e-05,0.10513458007674842,2.4566643448686865e-07,-30.392956945956836
4,23.0,20.53862231,-9.42033611764824e-05,0.2385537690866851,3.255622390576025e-07,-69.41509794125716,-0.00013956205184515312,0.11344235131880133,4.7652853267649643e-07,-32.67129802257981,-0.00011672340696790565,0.10947261636033281,3.984774475957494e-07,-31.505432031870594,-8.059240809555514e-05,0.10572054325950547,2.750766633801448e-07,-30.403490852370506,-7.197852283592388e-05,0.10513458007688918,2.456664344890741e-07,-30.231400132259562
5,22.0,19.01665621,-9.37078664683477e-05,0.2385537690863666,3.2556223905633175e-07,-69.05202719477445,-0.0001388367915647123,0.11344235131865009,4.7652853267521333e-07,-32.49864261100313,-0.00011611693779330998,0.10947261636018685,3.984774475940256e-07,-31.338818422247755,-8.017375073152052e-05,0.1057205432593646,2.750766633780044e-07,-30.242587770736694,-7.160462684328861e-05,0.10513458007674915,2.4566643448686865e-07,-30.071388866715466
6,22.0,18.45060888,-9.352358283218839e-05,0.23855376908636647,3.2556223905633175e-07,-68.91699447071939,-0.00013856705386112121,0.11344235131865019,4.7652853267521333e-07,-32.434428870930184,-0.00011589138069803361,0.10947261636018703,3.984774475940256e-07,-31.276851740048727,-8.00180443206716e-05,0.10572054325936465,2.750766633780044e-07,-30.182744939497933,-7.146556801397537e-05,0.10513458007674915,2.4566643448686865e-07,-30.011877718372233
7,23.0,19.39113708,-9.382978329886461e-05,0.2385537690863673,3.2556223905633175e-07,-69.14136101776397,-0.00013901524238420966,0.11344235131865057,4.7652853267521333e-07,-32.54112460141937,-0.00011626615997456093,0.10947261636018736,3.984774475940256e-07,-31.379813822863245,-8.02767616797381e-05,0.10572054325936533,2.750766633780044e-07,-30.28217809175343,-7.169662422340604e-05,0.10513458007674956,2.4566643448686865e-07,-30.110759755729312
8,24.0,19.84464425,-9.397742812538269e-05,0.23855376908668488,3.255622390576025e-07,-69.24954685938224,-0.0001392313514984924,0.11344235131880119,4.7652853267649643e-07,-32.59257151969151,-0.00011644687236185229,0.10947261636033243,3.984774475957494e-07,-31.429460437947068,-8.040151092633759e-05,0.10572054325950517,2.750766633801448e-07,-30.330123114857898,-7.180803572029299e-05,0.10513458007688901,2.456664344890741e-07,-30.158439040340358
9,27.0,22.09284342,-9.470935686415264e-05,0.2385537690863664,3.2556223905633175e-07,-69.78586324814107,-0.00014030268254213614,0.11344235131864983,4.7652853267521333e-07,-32.84761252119942,-0.0001173427290210751,0.1094726163601865,3.984774475940256e-07,-31.675576684538783,-8.1019938045165e-05,0.10572054325936417,2.750766633780044e-07,-30.567803953746168,-7.236034278699053e-05,0.10513458007674892,2.4566643448686865e-07,-30.394802517274098
