,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0.0,462.6,1027.222,1049.086,985.98,983.244,993.026,863.44,840.216,939.172,1160.704,1286.771,1307.748,1242.158,1237.678,1251.71,1150.041,1156.841,994.272,941.75,929.671,622.2,849.584,678.4,720.0,675.8,706.8,832.06,1021.888,1032.097,1099.045,1029.329,1195.866,858.718,1278.613,932.524,1533.775,714.4,1083.807,1105.985,1143.013,1123.51,1135.335,1128.479,1155.482,1263.06,1338.885,1262.959,1058.562,1201.739,1248.867,1168.623,1180.98,1298.827,1079.496,1253.739,1080.79,1046.859,1234.927,975.691,1025.668,1076.148,1122.664,1190.085,1138.704,1194.525,1280.327,1278.916,1185.64,1225.229,1229.724
1,177.0,0.0,917.582,1029.323,872.429,869.401,880.206,584.6,548.6,899.615,1059.435,1189.879,1211.401,1143.958,1139.335,1153.809,1048.285,1055.398,881.704,712.4,692.2,432.0,563.0,488.2,529.8,485.6,516.4,536.0,911.79,922.864,994.612,919.986,1096.049,577.2,1181.498,697.2,1441.469,524.0,978.328,1001.842,1040.815,1020.329,1032.76,1025.557,1053.977,1165.5,1243.277,1165.396,951.373,1102.037,1150.774,1067.592,1080.467,1202.15,973.739,1155.796,975.117,938.801,1136.388,861.018,915.896,970.172,1019.438,1089.937,1036.296,1094.549,1183.155,1181.705,1085.314,1126.366,1131.118
2,578.8,432.2,0.0,825.038,459.2,509.6,527.2,578.8,706.0,904.895,1143.538,1270.238,1291.296,1225.433,1220.932,1235.029,1132.806,1080.467,683.0,244.2,128.8,589.4,635.2,645.6,687.2,423.6,246.6,336.0,523.0,873.94,933.592,972.819,1095.406,837.463,1262.048,910.458,1489.272,254.2,919.746,944.339,984.841,993.933,1090.903,969.019,1015.309,1246.429,1307.748,1206.162,1012.401,1086.39,1134.914,1012.512,1025.779,1150.25,914.931,1102.998,916.378,878.08,1083.161,671.0,853.713,911.185,993.593,1065.202,1029.993,1088.54,1167.374,1166.021,1032.207,1074.202,1169.976
3,1049.086,1029.323,825.038,0.0,421.617,630.693,584.84,759.178,934.014,1013.336,2096.853,1912.367,1757.188,1552.374,2178.866,2180.401,1583.635,639.587,373.763,739.504,809.404,923.008,879.443,869.136,957.174,737.485,870.535,1014.287,321.392,258.707,263.525,803.282,1012.312,1021.347,1717.061,977.677,3073.72,865.208,2126.443,2250.063,1981.921,2156.013,1830.065,2085.003,2094.19,2686.953,2784.448,2432.497,1816.104,2417.698,2487.783,2787.866,2571.035,2658.243,2305.202,2397.189,2339.763,2132.511,1900.489,2044.252,2099.816,2222.511,2264.434,2193.124,2223.124,2258.572,2513.777,2496.599,2265.763,2343.578,2624.138
4,919.866,719.6,677.8,421.617,0.0,293.8,401.2,663.6,893.479,1116.391,1151.297,1274.478,1283.852,1175.898,1228.498,1242.565,1192.874,999.022,689.2,397.0,507.6,706.6,720.0,899.986,925.138,508.4,499.4,589.0,288.8,631.2,858.974,1008.478,1039.163,942.81,1254.55,960.691,1536.861,507.2,1096.049,1118.107,1154.959,1163.312,1253.84,1140.491,1183.052,1340.775,1415.428,1340.675,1180.358,1249.578,1295.615,1180.462,1192.77,1310.25,1091.761,1265.285,1093.048,1059.326,1227.477,988.712,1038.281,1088.433,1162.999,1229.621,1196.691,1251.608,1326.634,1325.337,1198.752,1238.086,1308.048
5,922.385,830.339,712.2,630.693,250.6,0.0,318.0,872.177,967.866,1255.482,1175.275,1297.623,1306.947,1199.679,1251.913,1265.892,1216.529,1024.779,837.857,430.6,542.0,898.884,907.06,961.619,985.525,633.4,410.2,493.6,485.4,677.2,887.919,1034.087,1064.333,1012.289,1277.807,1031.433,1559.012,408.6,1113.861,1135.757,1172.367,1180.669,1270.743,1157.99,1200.297,1392.033,1466.045,1380.399,1197.618,1266.499,1312.351,1197.721,1209.963,1326.933,1109.607,1282.14,1110.884,1077.444,1229.621,1007.58,1056.599,1106.305,1180.358,1246.632,1213.863,1268.52,1343.26,1341.968,1215.914,1255.057,1345.744
6,948.33,858.846,851.393,584.84,352.4,336.6,0.0,857.694,954.642,1053.388,1227.681,1348.426,1357.651,1251.71,1303.239,1317.051,1268.318,1080.467,902.187,474.4,585.8,884.817,893.109,960.807,984.727,610.6,454.0,537.4,462.6,866.108,949.15,1076.796,1118.955,1001.617,1328.828,1018.769,1607.833,452.4,1137.02,1158.721,1195.041,1203.282,1292.803,1180.773,1222.774,1391.343,1465.363,1391.245,1220.114,1288.581,1334.207,1220.216,1232.377,1348.724,1132.806,1304.141,1134.071,1100.969,1251.913,1031.986,1080.359,1129.535,1202.974,1268.824,1236.252,1290.592,1364.981,1363.694,1238.289,1277.202,1358.94
7,575.4,428.8,863.567,759.178,676.6,832.456,844.002,0.0,489.2,507.297,968.558,1094.12,1100.862,987.916,1052.337,1067.375,986.778,833.909,602.6,600.0,604.6,372.8,386.2,433.0,462.0,284.4,665.2,697.0,841.262,689.4,829.808,531.8,882.078,335.0,1069.653,365.6,1373.683,672.8,1067.917,1090.259,1127.529,1135.967,1159.556,976.953,992.686,1107.477,1186.777,1107.37,1083.592,1160.704,1205.031,1153.286,1165.604,1284.053,1063.572,1238.697,1064.876,1030.658,1219.806,958.6,1009.263,1060.197,1135.651,1202.871,1156.736,1103.425,1236.761,1235.334,1039.603,1081.545,1072.253
8,444.0,297.4,935.134,934.014,876.201,887.795,898.394,502.0,0.0,729.77,1040.154,1171.639,1193.287,1125.415,1120.757,1135.335,1028.885,1009.712,828.481,718.4,828.879,346.6,360.2,249.4,447.2,402.8,545.8,565.4,915.414,927.168,946.923,894.341,1051.352,542.0,1163.207,657.8,1424.251,553.4,995.065,1018.323,1056.926,1065.637,1090.044,1019.326,1034.639,1147.106,1225.331,1147.001,1011.505,1154.959,1202.253,1083.484,1096.263,1217.246,990.53,1171.12,991.892,956.04,1151.821,879.582,933.474,987.005,1065.311,1134.387,1093.477,1143.118,1234.009,1232.683,1080.467,1121.605,1112.479
9,939.172,899.615,904.895,1013.336,1116.391,1255.482,1053.388,507.297,729.77,0.0,1083.666,946.298,810.158,645.348,1184.478,1174.485,571.601,387.915,754.38,915.146,922.615,673.813,663.467,653.082,584.697,569.337,1082.81,1175.807,993.907,754.669,813.068,235.885,585.642,357.488,738.481,363.165,2060.926,1157.277,1989.06,2037.562,1774.051,1650.614,1334.844,1364.605,1309.965,1839.977,1985.817,1584.713,1315.462,1778.595,1867.005,2268.169,2102.025,2180.814,2075.909,2084.379,2088.72,1939.43,1795.577,1879.361,1923.373,1877.481,1727.395,1663.645,1644.302,1618.588,1888.54,1885.635,1510.658,1592.837,1804.314
10,1103.958,1024.224,1280.73,2096.853,1179.633,1212.324,1262.149,997.554,1059.762,1083.666,0.0,466.6,591.4,689.8,369.6,367.4,588.2,1027.333,1118.425,1193.493,1193.906,994.952,1067.592,1026.556,1049.381,1025.224,1157.781,1167.999,1255.666,1098.082,1156.945,977.411,922.026,920.466,477.2,1008.141,977.182,1161.747,1250.492,1271.45,1306.646,1048.395,1044.883,646.8,674.6,978.442,1052.337,921.426,950.789,989.053,1036.958,1117.152,1191.015,1222.877,1241.547,1408.36,1242.768,1215.811,1340.476,1150.041,1196.072,1160.182,1009.936,1066.289,984.727,925.855,1070.845,1069.436,853.069,901.332,878.581
