,0,1,2,3,4,5,6,7,8,9,10
0,0.0,20545.99140643656,23129.222548815258,15226.23617889769,22932.547679119034,22926.215773179327,16032.150733367096,26130.525189016033,11645.190148555579,4518.624164535408,18899.419508118957
1,20545.99140643656,0.0,2583.766490804954,35758.5597155948,40100.28676423612,40092.341559865396,14507.438706812627,46232.59273155176,9297.023463097421,18111.650992104034,39269.20983641752
2,23129.222548815258,2583.766490804954,0.0,38342.32038584579,42493.07202991472,42485.060424862364,16220.466643571093,48777.952060961274,11841.716364982687,20660.430952974126,41837.710012034186
3,15226.23617889769,35758.5597155948,38342.32038584579,0.0,15541.549897978986,15540.495226823356,29237.69536626229,12762.068367056565,26697.511059425688,18191.820070858055,5541.213288149398
4,22932.547679119034,40100.28676423612,42493.07202991472,15541.549897978986,0.0,8.459649737357473,38963.54392556999,25226.480566896847,31048.67145622163,22790.508706226046,20080.79490455595
5,22926.215773179327,40092.341559865396,42485.060424862364,15540.495226823356,8.459649737357473,0.0,38957.175759157166,25228.962581588312,31040.91530829936,22783.197362295126,20081.260688010327
6,16032.150733367096,14507.438706812627,16220.466643571093,29237.69536626229,38963.54392556999,38957.175759157166,0.0,36761.58791093033,13280.389440970494,17146.798555255355,30944.050842227327
7,26130.525189016033,46232.59273155176,48777.952060961274,12762.068367056565,25226.480566896847,25228.962581588312,36761.58791093033,0.0,37731.95828360569,29904.89453902506,7495.308233280281
8,11645.190148555579,9297.023463097421,11841.716364982687,26697.511059425688,31048.67145622163,31040.91530829936,13280.389440970494,37731.95828360569,0.0,8818.714658484569,30543.748733329227
9,4518.624164535408,18111.650992104034,20660.430952974126,18191.820070858055,22790.508706226046,22783.197362295126,17146.798555255355,29904.89453902506,8818.714658484569,0.0,22502.5562239106
10,18899.419508118957,39269.20983641752,41837.710012034186,5541.213288149398,20080.79490455595,20081.260688010327,30944.050842227327,7495.308233280281,30543.748733329227,22502.5562239106,0.0
