,0,1,2,3,4,5,6,7,8,9,10
0,0.0,25029.599609375,27086.5,19173.69921875,34752.1015625,34743.80078125,19410.69921875,30783.599609375,12672.3994140625,6115.5,22383.19921875
1,23866.6015625,0.0,3957.10009765625,41597.59765625,48171.8984375,48163.59765625,18536.30078125,53207.3984375,11792.900390625,22563.900390625,44807.09765625
2,27304.30078125,4098.10009765625,0.0,45035.296875,51609.6015625,51601.296875,20586.099609375,56645.1015625,15230.6005859375,26001.6015625,48244.796875
3,18793.099609375,42567.90234375,44624.80078125,0.0,20054.8984375,20046.599609375,36940.0,17128.400390625,30210.69921875,23713.099609375,8728.0
4,33542.6015625,51036.80078125,53093.69921875,19126.30078125,0.0,162.89999389648438,52005.30078125,35656.8984375,39996.1015625,31238.0,27256.5
5,33534.296875,51028.40234375,53085.30078125,19118.099609375,162.89999389648438,0.0,51997.0,35648.69921875,39987.796875,31229.69921875,27248.30078125
6,19150.900390625,19203.099609375,20866.69921875,36381.69921875,52265.80078125,52257.5,0.0,47373.0,17698.0,22247.5,39591.203125
7,31365.69921875,55140.5,57197.3984375,18583.400390625,38445.296875,38437.0,49512.6015625,0.0,42783.30078125,36285.69921875,9719.900390625
8,12450.30078125,13019.7001953125,15390.400390625,30181.30078125,38563.1015625,38554.80078125,18606.30078125,41791.19921875,0.0,12657.099609375,33390.796875
9,5187.7998046875,25419.099609375,27476.0,23116.6015625,31742.19921875,31733.8984375,22168.900390625,34726.5,14087.7001953125,0.0,26326.099609375
10,22160.400390625,45935.203125,47992.1015625,9616.2001953125,29240.0,29231.69921875,40307.30078125,10248.2998046875,33578.0,27080.3984375,0.0
