,TimeWindowStart,TimeWindowEnd,Latitude,Longitude,ParkingTime,LocationTime,ProcessingTime,UnparkingTime
58,2019-12-21T17:20:00+08:00,2019-12-21T21:00:00+08:00,1.401794,103.907165,5,0,2,5
59,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.40272,103.9053,5,0,2,5
60,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.394689,103.895101,5,0,2,5
61,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.380642,103.887884,5,0,2,5
62,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.379954,103.890429,5,0,3,5
63,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.376407,103.888346,5,0,2,5
64,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.371596,103.886021,5,0,3,5
65,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.376618,103.877382,5,0,3,5
66,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.377785,103.878288,5,0,3,5
67,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.360607,103.884597,5,0,3,5
68,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.361715,103.881767,5,0,2,5
69,2019-12-21T17:00:00+08:00,2019-12-21T21:00:00+08:00,1.355193,103.871312,5,0,2,5
