,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1841.896,1889.459,1398.628,2422.983,2421.159,1650.215,1892.077,1194.215,888.291,1511.749
1,1726.436,0.0,466.0,2457.724,3137.524,3135.731,1526.826,2925.661,1267.308,1705.51,2563.265
2,1907.865,550.8,0.0,2528.819,3310.418,3308.63,1640.399,2995.84,1458.642,1887.216,2634.142
3,1371.311,2440.86,2487.146,0.0,2138.412,2136.567,2326.482,1385.233,1825.288,1760.351,965.787
4,2099.359,2609.474,2736.817,1546.114,0.0,78.0,2877.736,2257.006,2198.381,2118.479,1886.0
5,2097.511,2607.659,2735.009,1544.187,78.0,0.0,2875.934,2255.17,2196.541,2116.633,1884.13
6,1599.411,1635.535,1636.584,2293.233,3280.728,3278.939,0.0,2763.303,1615.387,1910.666,2399.345
7,1831.67,2875.844,2921.609,1403.84,2902.245,2900.444,2762.851,0.0,2270.219,2206.844,987.233
8,1209.655,1383.359,1441.958,1899.272,2867.641,2865.838,1501.584,2376.235,0.0,1416.605,2007.296
9,834.173,1780.996,1912.813,1806.216,2491.334,2489.513,1888.618,2221.554,1347.433,0.0,1914.866
10,1471.397,2533.82,2579.976,1013.408,2514.994,2513.175,2419.79,1035.964,1920.839,1856.331,0.0
