,Total_demand,Required_flow,Ret_temp,Elect_cons,COP,Cooling_load,Tout_cond,Heat_rejected
0,849.1,410.22658895,0,0,0,0,0,0
1,859.1,410.22658895,0,0,0,0,0,0
2,354.3988991,218.3903135,6.393460419236541,160.11464535712165,2.214207083653646,354.52698194643017,28.684000000000026,565.4175766875021
3,366.4840367,218.3903135,6.440977950891952,159.2103309824921,2.301651204145069,366.44665001818794,28.30800000000005,577.5197352836087
4,264.65247706,218.3903135,6.040586617431782,141.13253241388384,1.8726295676532623,264.2889531560213,26.466000000000008,445.42147728903865
5,276.4840367,218.3903135,6.087107106344262,134.6875910287517,2.047418107297133,275.7618127004971,24.958000000000027,450.9454635944884
6,254.65247706,218.3903135,6.001267634704261,129.98215833831506,1.959041251441126,254.6404101361113,24.319000000000017,422.5704821927687
7,696.4840366999999,218.3903135,7.7385043809001495,190.2911688243823,3.667707279118559,697.9323050491657,26.43900000000002,975.8580291802027
8,1895.0440367,628.61690245,7.588623545139564,186.33717325395872,3.525434444081199,656.9194888022321,26.811000000000035,926.4546688217594
9,1379.1,410.22658895,0,0,0,0,0,0
10,1968.2,628.61690245,7.688554335874915,212.9931290770377,3.1949304609908986,680.4982360699942,30.299000000000035,981.6456650030423
11,2477.3,1038.8434914,7.04768959889736,184.94114476355463,2.854959487827025,527.9994759323017,29.935000000000002,783.2812906876815
12,3076.4,1230.67976685,0,0,0,0,0,0
13,2597.3,1038.8434914,7.146879342516495,191.81087594393176,2.8607863890546494,548.7299431730498,30.522000000000048,813.6046001120123
14,2946.4,1230.67976685,0,0,0,0,0,0
15,3136.4,1230.67976685,0,0,0,0,0,0
16,3046.4,1230.67976685,0,0,0,0,0,0
17,3086.4,1230.67976685,0,0,0,0,0,0
18,2996.4,1230.67976685,0,0,0,0,0,0
19,2547.3,1038.8434914,7.105550282675189,190.23409029505368,2.8395681076789776,540.1826557951572,30.492999999999995,802.4816583729299
20,3056.4,1230.67976685,0,0,0,0,0,0
21,2306.4,1038.8434914,6.906426872359776,178.65703007582022,2.705341613452734,483.3282979999931,29.949000000000012,727.2986096449882
22,2376.4,1038.8434914,6.964287556137605,181.12207757001073,2.7789315714061398,503.32585963797465,30.01400000000001,751.977441180899
23,1358.2,628.61690245,6.855296463258465,177.59480749456128,2.6603476850695995,472.4639349985373,29.91500000000002,714.1953145352106
