Marca temporal;001 - Planta Biomasa Electricidad.AGUA ENTRADA FILTROS BIOMASA (m3)
30/07/2015 0:00:00;253
31/07/2015 0:00:00;318
01/08/2015 0:00:00;336
02/08/2015 0:00:00;325
03/08/2015 0:00:00;258
04/08/2015 0:00:00;26
05/08/2015 0:00:00;328
06/08/2015 0:00:00;341
07/08/2015 0:00:00;330
08/08/2015 0:00:00;340
09/08/2015 0:00:00;329
10/08/2015 0:00:00;342
11/08/2015 0:00:00;324
12/08/2015 0:00:00;339
13/08/2015 0:00:00;364
14/08/2015 0:00:00;320
15/08/2015 0:00:00;333
16/08/2015 0:00:00;324
17/08/2015 0:00:00;328
18/08/2015 0:00:00;326
19/08/2015 0:00:00;311
20/08/2015 0:00:00;311
21/08/2015 0:00:00;345
22/08/2015 0:00:00;323
23/08/2015 0:00:00;338
24/08/2015 0:00:00;340
25/08/2015 0:00:00;348
26/08/2015 0:00:00;328
27/08/2015 0:00:00;298
28/08/2015 0:00:00;122
29/08/2015 0:00:00;114
30/08/2015 0:00:00;321
31/08/2015 0:00:00;332
01/09/2015 0:00:00;348
02/09/2015 0:00:00;328
03/09/2015 0:00:00;328
04/09/2015 0:00:00;199
05/09/2015 0:00:00;178
06/09/2015 0:00:00;165
07/09/2015 0:00:00;152
08/09/2015 0:00:00;241
09/09/2015 0:00:00;318
10/09/2015 0:00:00;312
11/09/2015 0:00:00;332
12/09/2015 0:00:00;310
13/09/2015 0:00:00;310
14/09/2015 0:00:00;331
15/09/2015 0:00:00;332
16/09/2015 0:00:00;329
17/09/2015 0:00:00;331
18/09/2015 0:00:00;338
19/09/2015 0:00:00;326
20/09/2015 0:00:00;333
21/09/2015 0:00:00;286
22/09/2015 0:00:00;313
23/09/2015 0:00:00;303
24/09/2015 0:00:00;216
25/09/2015 0:00:00;0
26/09/2015 0:00:00;0
27/09/2015 0:00:00;0
28/09/2015 0:00:00;0
29/09/2015 0:00:00;1
30/09/2015 0:00:00;2
01/10/2015 0:00:00;0
02/10/2015 0:00:00;0
03/10/2015 0:00:00;0
04/10/2015 0:00:00;0
05/10/2015 0:00:00;0
