,Name,m_coeff,p_coeff,cst,max_flow,max_pressure,r2_value
0,ch1_evap_pump_values,0.017967538,0.259072758,0.208225612,218.3903135,15,0.997875697
1,ch2_evap_pump_values,0.032272906,0.79445631,1.518957414,820.4531779,23,0.99835658
2,ch3_evap_pump_values,0.032272906,0.79445631,1.518957414,820.4531779,23,0.99835658
3,ch1_cond_pump_values,0.062963158,0.67219924,1.967490796,561.0120813,30,0.998565118
4,ch2_cond_pump_values,0.053380229,1.685543248,4.585559638,1829.472166,50,0.995805736
5,ch3_cond_pump_values,0.053380229,1.685543248,4.585559638,1829.472166,50,0.995805736
