,ch1,ch2a,ch2b,ch3a,ch3b
0,5.35391,0,0,0,0
1,5.35391,0,0,0,0
2,5.35391,0,0,0,0
3,5.35391,0,0,0,0
4,5.35391,0,0,0,0
5,5.35391,0,0,0,0
6,5.35391,0,0,0,0
7,5.35391,0,0,0,0
8,0,17.790842,0,0,0
9,5.35391,0,0,0,0
10,0,17.790842,0,0,0
11,6.869861,0,39.071335,0,0
12,6.869861,0,39.071335,0,0
13,6.869861,0,39.071335,0,0
14,6.869861,0,39.071335,0,0
15,0,0,37.349337,0,0
16,6.869861,0,39.071335,0,0
17,6.869861,0,39.071335,0,0
18,5.897715,18.83886,0,0,0
19,0,0,37.349337,0,0
20,0,0,37.349337,0,0
21,0,0,37.349337,0,0
22,5.897715,18.83886,0,0,0
23,0,17.790842,0,0,0
