,Tin,Tout,Twb,E,mw,ma
0,19.30000000000001,19.200000000000045,7.798018100000036,0.0,237.2,0.0
1,18.80000000000001,18.30000000000001,7.798018100000036,0.0,236.0,0.0
2,19.80000000000001,19.30000000000001,11.723302000000047,0.0,236.51999999999998,0.0
3,21.700000000000045,21.30000000000001,12.183982300000082,0.0,234.79999999999998,0.0
4,22.200000000000045,21.30000000000001,11.198720800000046,1.0,236.2,16778.04545
5,22.200000000000045,21.100000000000023,10.374765200000013,0.0,236.45999999999998,0.0
6,22.200000000000045,22.100000000000023,10.416613199999972,1.0,236.51999999999998,16778.04545
7,22.200000000000045,22.0,9.702790100000016,1.0,236.51999999999998,16778.04545
8,22.200000000000045,22.0,10.237890499999992,1.0,235.51999999999998,16778.04545
9,22.200000000000045,21.30000000000001,9.43712910000005,1.0,235.32,16778.04545
10,22.200000000000045,21.5,10.006053199999997,1.0,235.66,16778.04545
11,22.200000000000045,21.200000000000045,9.43712910000005,0.0,235.72,0.0
12,22.200000000000045,21.400000000000034,8.953704899999991,1.0,236.2,16778.04545
13,22.200000000000045,21.600000000000023,7.8006668000000445,1.0,234.05999999999997,16778.04545
14,22.200000000000045,21.200000000000045,7.8006668000000445,1.0,235.26,16778.04545
15,22.200000000000045,21.700000000000045,6.645262000000059,1.0,237.6,16778.04545
16,22.200000000000045,21.400000000000034,7.186871100000019,1.0,236.26,16778.04545
17,22.200000000000045,21.30000000000001,5.548967000000005,0.0,235.39999999999998,0.0
18,22.200000000000045,21.600000000000023,5.301123000000018,1.0,236.31999999999996,16778.04545
19,16.700000000000045,16.30000000000001,7.58625980000005,0.0,236.26,0.0
20,17.700000000000045,17.30000000000001,8.120783800000027,0.0,235.39999999999998,0.0
21,20.200000000000045,19.30000000000001,8.738376100000039,0.0,236.11999999999998,0.0
22,22.200000000000045,21.200000000000045,9.525237199999992,0.0,234.66,0.0
23,22.200000000000045,21.400000000000034,9.136290100000053,1.0,234.71999999999997,16778.04545
24,22.200000000000045,21.600000000000023,9.136290100000053,1.0,236.92,16778.04545
25,22.700000000000045,21.400000000000034,9.525237199999992,0.0,235.91999999999996,0.0
26,22.200000000000045,21.700000000000045,9.00104360000006,1.0,236.51999999999998,16778.04545
27,22.200000000000045,21.200000000000045,9.362827900000013,1.0,236.45999999999998,16778.04545
28,22.200000000000045,21.5,9.362827900000013,1.0,234.45999999999998,16778.04545
29,22.200000000000045,21.30000000000001,9.362827900000013,1.0,237.2,16778.04545
30,22.200000000000045,21.100000000000023,9.525237199999992,0.0,236.4,0.0
31,21.200000000000045,21.100000000000023,9.00104360000006,1.0,236.26,16778.04545
32,20.200000000000045,20.100000000000023,8.874278600000082,0.0,235.20000000000002,0.0
33,19.200000000000045,19.100000000000023,8.874278600000082,0.0,237.26,0.0
34,19.700000000000045,19.600000000000023,10.24957599999999,0.0,235.79999999999998,0.0
35,22.200000000000045,21.200000000000045,10.416613199999972,0.0,235.6,0.0
36,22.700000000000045,21.600000000000023,10.416613199999972,2.0,235.91999999999996,33556.09091
37,22.700000000000045,21.30000000000001,10.812301800000057,1.0,236.26,16778.04545
38,22.700000000000045,21.30000000000001,11.296981899999992,1.0,236.85999999999999,16778.04545
39,22.700000000000045,21.80000000000001,11.198720800000046,1.0,235.51999999999998,16778.04545
40,22.700000000000045,22.100000000000023,10.24957599999999,1.0,238.4,16778.04545
41,22.700000000000045,21.80000000000001,10.773070700000005,1.0,236.51999999999998,16778.04545
42,22.700000000000045,21.5,10.228281800000047,1.0,235.66,16778.04545
43,22.200000000000045,21.80000000000001,10.228281800000047,1.0,234.71999999999997,16778.04545
44,22.700000000000045,21.600000000000023,10.731398000000013,1.0,235.39999999999998,16778.04545
45,22.700000000000045,21.5,10.228281800000047,1.0,235.26,16778.04545
46,22.700000000000045,21.900000000000034,9.73949220000003,1.0,235.51999999999998,16778.04545
47,22.200000000000045,21.900000000000034,9.73949220000003,1.0,236.99999999999997,16778.04545
48,19.400000000000034,19.30000000000001,10.012434600000063,0.0,234.31999999999996,0.0
49,22.400000000000034,21.0,8.618903700000033,0.0,236.06,0.0
50,22.900000000000034,22.200000000000045,8.618903700000033,2.0,236.92,33556.09091
51,22.400000000000034,21.80000000000001,8.120783800000027,1.0,234.91999999999996,16778.04545
52,22.80000000000001,20.900000000000034,7.58625980000005,1.0,235.11999999999998,16778.04545
53,22.30000000000001,21.900000000000034,6.158896300000038,1.0,235.91999999999996,16778.04545
54,22.30000000000001,21.200000000000045,5.548967000000005,0.0,236.8,0.0
55,22.30000000000001,21.400000000000034,5.548967000000005,1.0,235.6,16778.04545
56,22.30000000000001,21.80000000000001,5.548967000000005,1.0,236.6,16778.04545
57,22.30000000000001,21.900000000000034,5.301123000000018,0.0,236.4,0.0
58,21.80000000000001,20.600000000000023,5.301123000000018,0.0,236.0,0.0
59,20.80000000000001,20.600000000000023,4.694077399999969,0.0,236.4,0.0
60,19.0,18.900000000000034,5.301123000000018,0.0,236.06,0.0
61,17.600000000000023,17.200000000000045,5.8030017000000385,0.0,235.85999999999999,0.0
62,13.600000000000023,13.200000000000045,7.8006668000000445,0.0,237.66,0.0
63,16.600000000000023,16.200000000000045,7.186871100000019,0.0,235.45999999999998,0.0
64,19.600000000000023,19.200000000000045,6.878865000000019,0.0,235.91999999999996,0.0
65,21.100000000000023,20.700000000000045,6.645262000000059,0.0,235.72,0.0
66,21.200000000000045,20.700000000000045,12.411012000000028,0.0,236.85999999999999,0.0
67,22.700000000000045,21.400000000000034,12.728143000000046,1.0,235.0,16778.04545
