,Total_demand,Required_flow,Ret_temp,Elect_cons,COP,Cooling_load,Tout_cond,Heat_rejected
0,849.1,410.22658895,0,0,0,0,0,0
1,859.1,410.22658895,0,0,0,0,0,0
2,354.3988991,218.3903135,0,0,0,0,0,0
3,366.4840367,218.3903135,0,0,0,0,0,0
4,264.65247706,218.3903135,0,0,0,0,0,0
5,276.4840367,218.3903135,0,0,0,0,0,0
6,254.65247706,218.3903135,0,0,0,0,0,0
7,696.4840366999999,218.3903135,0,0,0,0,0,0
8,1895.0440367,628.61690245,0,0,0,0,0,0
9,1379.1,410.22658895,0,0,0,0,0,0
10,1968.2,628.61690245,0,0,0,0,0,0
11,2477.3,1038.8434914,7.04768959889736,625.2554183931225,3.117606767941925,1949.3005240747589,29.935000000000002,2840.9727182528827
12,3076.4,1230.67976685,7.146512327247068,647.4741089397759,3.171447772687532,2053.430320669897,31.090000000000032,2980.395831591129
13,2597.3,1038.8434914,7.146879342516495,646.5910729171604,3.1682622025498626,2048.5700568296015,30.51600000000002,2974.0582112061416
14,2946.4,1230.67976685,7.055806761474698,635.7793393751658,3.0914335627770217,1965.4695882645901,30.89500000000004,2870.427911434404
15,3136.4,1230.67976685,7.1883764345266234,657.9992784761953,3.180350972551686,2092.6686452400754,32.825000000000045,3035.3088854462585
16,3046.4,1230.67976685,7.125580273607291,643.9572149338143,3.1571937209327636,2033.097675538389,31.74000000000001,2954.0783261468678
17,3086.4,1230.67976685,7.153489678460327,648.6463677881636,3.1761719584706256,2060.2124043325894,31.74000000000001,2989.1732948005542
18,2996.4,1230.67976685,7.090693517540994,638.0953443181932,3.133160748170622,1999.2552864081808,31.090000000000032,2910.2654429712925
19,2547.3,1038.8434914,7.105550282675189,639.4056538443713,3.139035965857169,2007.117344189901,30.486000000000047,2920.386973000488
20,3056.4,1230.67976685,7.132557624820549,642.1977703967889,3.176393706587454,2039.872956272855,30.74200000000002,2959.613204438342
21,2306.4,1038.8434914,6.906426872359776,605.4105495043812,3.011298206638653,1823.071702002664,30.00600000000003,2679.783223773908
22,2376.4,1038.8434914,6.964287556137605,613.4116720200091,3.0535352126302553,1873.0741403514985,30.040999999999997,2743.789032021951
23,1358.2,628.61690245,0,0,0,0,0,0
