,Chiller1,Chiller2,Chiller3
0,0,1.3666123539183317,0
1,3.9672820455534734,0.0,0
2,5.006146593406651,0.0,0
3,0,4.04287081683646,0
4,0,0.0,3.370775792181356
5,0,0.0,3.85873249911837
6,4.9918949481447275,0.0,0
7,0,3.336844009046564,0
8,0,2.639947134370275,0
9,3.7572993040242944,2.1552322055649333,0
10,3.617067989493759,0.0,2.335682335205566
11,0,3.335368235945428,0
12,2.8319069790353706,0.0,2.189412520036149
13,3.220161737793058,0.0,2.1606686288333887
14,5.334890059755224,3.794262593512522,0
15,4.320383676975171,0.0,3.354738984331332
16,2.514841046140128,0.0,2.076484677513604
17,0,2.5791630446173,0
18,2.716509541058863,2.093367712970412,0
19,0,2.867830908232123,0
20,0,2.0641637527816603,0
21,0,0.0,2.7434305308566174
22,0,0.0,2.7655583822303402
23,0,0.0,2.3054069914742006
