,Chiller_1,Chiller_2,Chiller_3
0,145.8173883099994,0,460.38919373561237
1,147.8307319237567,0,0.0
2,0.0,0,420.41848454535267
3,139.19355767513858,0,0.0
4,138.90760456564232,0,455.76216142559554
5,136.8915849205896,0,0.0
6,125.7223594198691,0,0.0
7,144.42956934685424,0,0.0
8,0.0,522.9859786813715,0.0
9,0.0,488.5795662628642,0.0
10,331.9827928077697,0,0.0
11,173.3773159258917,629.1325587291396,0.0
12,0.0,0,669.211029604706
13,0.0,0,693.0461018624712
14,0.0,665.348401331981,0.0
15,0.0,0,606.3260124368796
16,0.0,0,668.0564914484873
17,0.0,0,654.9057497731991
18,0.0,606.0306989362507,0.0
19,170.08777923912507,0,588.9987961017114
20,0.0,669.809519422339,0.0
21,0.0,604.7782213208525,0.0
22,0.0,0,526.6540613544391
23,0.0,0,483.2573775223821
