,Name,Value,Unit
0,chiller1_nwk_choice_4_etret,274.16683773216033,K
1,chiller1_nwk_choice_4_ctin,289.2342521994135,K
2,chiller1_nwk_choice_4_tenwkflow,0.03914435687528134,m3/h
3,chiller1_nwk_choice_4_tcnwkflow,1049.8158802066048,m3/h
4,chiller1_nwk_choice_4_piecewise_steps,4.0,m3/h
5,gv2_substation_nwk_choice_4_demand,1800.0,kWh
6,gv2_substation_nwk_choice_4_totalflownwk,0.03914435687528134,m3/h
7,chiller_ret_nwk_choice_4_etret,274.16683773216033,K
8,chiller_evap_flow_consol_nwk_choice_4_tf,0.03914435687528134,m3/h
9,cp_network_nwk_choice_4_tf,0.03914435687528134,m3/h
