,power_Value,power_Weight,operation_cost_Value,operation_cost_Weight,Rep_obj_value
0,12391.134949909629,0.0,5321.14909379681,1.0,5321.149093796809
1,12391.134949909538,0.5,5321.149093796806,0.5,4779.268296085511
2,12391.134949908892,1.0,5321.149093796503,0.0,4237.387498373997
