,T_DB,T_WB
0,22.0,18.45060888
1,22.0,18.45060888
2,21.0,17.51007834
3,20.0,17.00064316
4,20.0,17.00064316
5,19.0,16.56490642
6,20.0,17.00064316
7,21.0,17.95255691
8,22.0,18.45060888
9,23.0,18.91616356
10,23.0,18.30659025
11,23.0,18.91616356
12,22.0,17.87037826
13,22.0,17.87037826
14,23.0,17.80421156
15,22.0,17.87037826
16,22.0,17.87037826
17,21.0,17.95255691
18,22.0,18.45060888
19,21.0,18.60288878
20,21.0,18.60288878
21,21.0,18.60288878
22,21.0,18.60288878
23,21.0,17.51007834
