,Chiller1,Chiller2,Chiller3
0,0,0,1.7384771322831507
1,0,0,1.7705410831738277
2,0,1.395599107325411,0.0
3,0,1.2720699612958086,0.0
4,0,1.2437583261833687,0.0
5,0,0,1.242579384300513
6,0,0,0.9474101281003778
7,0,1.4772998569664773,0.0
8,0,3.124414859998386,0.0
9,0,2.448113488547329,0.0
10,0,0,3.0237665688341875
11,0,0,3.377649446795695
12,0,0,3.5700705481353787
13,0,0,3.346350738258142
14,0,0,3.488387042527171
15,0,0,3.576736285777299
16,0,2.5608821115694202,2.625875937118007
17,2.4841358703638234,3.338201436366887,0.0
18,0,0,3.5343971492563186
19,0,3.326378464836597,0.0
20,0,0,3.6097024721053868
21,0,3.226956873358204,0.0
22,0,3.2613541917740907,0.0
23,0,2.4156573100012264,0.0
