Day of week;Date;Month;Year ;Hour;Gv2_load;Gv2_delt;Gv2_flow;Hsb_load;Hsb_delt;Hsb_flow;Pfa_load;Pfa_delt;Pfa_flow;Ser_load;Ser_delt;Ser_flow;Fir_load;Fir_delt;Fir_flow
6;2;1;2016;16;499,1;3,861003861;111;30,76923077;6,605296126;4;0;0;0;13,9;2,56683228;4,65;0;0;0
6;2;1;2016;17;499,1;3,151260504;136;15,38461538;6,605296126;2;0;0;0;14;2,585298699;4,65;0;0;0
6;2;1;2016;18;499,1;2,729754322;157;23,07692308;6,605296126;3;0;0;0;13,9;2,56683228;4,65;0;0;0
6;2;1;2016;19;998,2;4,633204633;185;15,38461538;6,605296126;2;0;0;0;13,9;2,56683228;4,65;0;0;0
6;2;1;2016;20;998,2;4,81540931;178;15,38461538;6,605296126;2;0;0;0;14;2,585298699;4,65;0;0;0
6;2;1;2016;21;499,1;2,421307506;177;18,18181818;7,806259059;2;0;0;0;13,9;2,56683228;4,65;0;0;0
6;2;1;2016;22;998,2;5,132591959;167;27,27272727;7,806259059;3;0;0;0;14;2,585298699;4,65;0;0;0
6;2;1;2016;23;125,1661442;1,343484102;80;27,27272727;7,806259059;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;0;21,90407524;1,343484102;14;27,27272727;7,806259059;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;1;12,51661442;1,343484102;8;27,27272727;7,806259059;3;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;2;12,51661442;1,343484102;8;27,27272727;7,806259059;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;3;12,51661442;1,343484102;8;18,18181818;7,806259059;2;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;4;12,51661442;1,343484102;8;27,27272727;7,806259059;3;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;5;12,51661442;1,343484102;8;15,38461538;6,605296126;2;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;6;12,51661442;1,343484102;8;15,38461538;6,605296126;2;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;7;12,51661442;1,343484102;8;23,07692308;6,605296126;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;8;264,4134796;1,343484102;169;7,692307692;6,605296126;1;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;9;24,71957547;1,010781671;21;15,38461538;6,605296126;2;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;10;43,55353774;1,010781671;37;23,07692308;6,605296126;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;11;301,3433962;1,010781671;256;20;8,586884964;2;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;12;129,4834906;1,010781671;110;30;8,586884964;3;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;13;260,3219424;1,541623844;145;20;8,586884964;2;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;14;238,7780576;1,541623844;133;20;8,586884964;2;0;0;0;14;2,585298699;4,65;0;0;0
7;3;1;2016;15;499,1;3,663003663;117;10;8,586884964;1;0;0;0;13,9;2,56683228;4,65;0;0;0
7;3;1;2016;16;499,1;4,41826215;97;14,28571429;6,13348926;2;0;0;0;13,9;2,56683228;4,65;0;0;0
