,Chiller1,Chiller2,Chiller3
0,1.5266034662987964,0,1.3231727805573594
1,1.5970486908604102,0,0.0
2,0.0,0,0.6623340395216117
3,1.5922701141444349,0,0.0
4,1.609180841509005,0,1.3357139585054938
5,1.5990025313503715,0,0.0
6,0.9755913100887527,0,0.0
7,1.5834104334191004,0,0.0
8,0.0,2.2457157690048075,0.0
9,0.0,1.7340398385405005,0.0
10,4.13261881077542,0,0.0
11,2.8939107028067967,3.2359235525527312,0.0
12,0.0,0,3.507463656137083
13,0.0,0,3.559910811020138
14,0.0,3.5123790122378655,0.0
15,0.0,0,3.2013466488858064
16,0.0,0,3.4551515025402226
17,0.0,0,3.5529863284066456
18,0.0,3.1584326588957645,0.0
19,2.745909669655798,0,3.0375458732322302
20,0.0,3.4129719876494673,0.0
21,0.0,3.113353354244624,0.0
22,0.0,0,2.2871005130374025
23,0.0,0,1.7330636999077986
