,Chiller_1,Chiller_2,Chiller_3
0,0,407.0927251409089,0
1,67.03015385125855,0.0,0
2,63.38031037220768,0.0,0
3,0,453.2670181714933,0
4,0,0.0,437.4934625849505
5,0,0.0,450.80939837464615
6,58.894397938539875,0.0,0
7,0,431.94575651672915,0
8,0,424.96112309694536,0
9,65.08589152661014,422.3683778320352,0
10,71.50271372938525,0.0,432.88959620080925
11,0,468.78445837998817,0
12,78.12069922503687,0.0,438.19919718732365
13,88.2949049521955,0.0,443.16422832243444
14,93.41108867697031,493.8907999676951,0
15,94.84013183262591,0.0,485.38792612950584
16,79.76052852156414,0.0,437.88287842492434
17,0,452.42328935367857,0
18,76.21132254701477,434.1937870698208,0
19,0,453.5430383564131,0
20,0,431.78970352628903,0
21,0,0.0,447.8246896369052
22,0,0.0,443.84653760340285
23,0,0.0,428.5462601662933
