,Unit_name,v1_name,v2_name,v1_value,v2_value,y_value,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,obj_contri
141,cnwk_1_time1,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
142,cnwk_2_time1,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
143,cnwk_3_time1,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
144,cnwk_4_time1,m_flow,-,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0
145,cts_time1,q_rej,-,0.0,0,1.0,0,0.00024825702887202824,0,0,0,0.0,0.0
146,ch1_1_time2,q_out,-,0.0,0,0.0,0,0.006979954352245531,0,0,0,6.489379327377953,0.0
147,ch1_2_time2,q_out,-,812.503944975,0,1.0,0,0.012506900340114707,0,0,0,3.725906333443364,13.887812199195732
148,ch1_3_time2,q_out,-,0.0,0,0.0,0,0.018705946340945988,0,0,0,-2.4731396673879162,0.0
149,ch1_4_time2,q_out,-,0.0,0,0.0,0,0.02569066909277376,0,0,0,-12.950223795129576,0.0
150,ch2_1_time2,q_out,-,0.0,0,0.0,0,0.006289052579204457,0,0,0,25.43451559073162,0.0
151,ch2_2_time2,q_out,-,0.0,0,0.0,0,0.01043065060673002,0,0,0,17.845037205291025,0.0
152,ch2_3_time2,q_out,-,0.0,0,0.0,0,0.014949636379412757,0,0,0,1.282954348408801,0.0
153,ch2_4_time2,q_out,-,0.0,0,0.0,0,0.019893296790120033,0,0,0,-25.89481875945446,0.0
154,ch3_1_time2,q_out,-,0.0,0,0.0,0,0.006289052579204457,0,0,0,25.43451559073162,0.0
155,ch3_2_time2,q_out,-,0.0,0,0.0,0,0.01043065060673002,0,0,0,17.845037205291025,0.0
156,ch3_3_time2,q_out,-,0.0,0,0.0,0,0.014949636379412757,0,0,0,1.282954348408801,0.0
157,ch3_4_time2,q_out,-,0.0,0,0.0,0,0.019893296790120033,0,0,0,-25.89481875945446,0.0
158,ep1_1_time2,m_flow,delp,0.0,2.4739847352569004,1.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.05431191440514079
159,ep1_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
160,ep1_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
161,ep1_4_time2,m_flow,delp,0.0,0.0,0.0,0,0.0011491857629420002,0,0.016570034528922,0,0.013317901917908001,0.0
162,ep2_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
163,ep2_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
164,ep2_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
165,ep2_4_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
166,ep3_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
167,ep3_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
168,ep3_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
169,ep3_4_time2,m_flow,delp,0.0,0.0,0.0,0,0.0020641427948540005,0,0.050812631131290004,0,0.097150997242026,0.0
170,cp1_1_time2,m_flow,delp,0.0,2.4924682228045327,1.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.23299790666229006
171,cp1_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
172,cp1_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
173,cp1_4_time2,m_flow,delp,0.0,0.0,0.0,0,0.004027060622522,0,0.04299319119116,0,0.125838743821364,0.0
174,cp2_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
175,cp2_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
176,cp2_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
177,cp2_4_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
178,cp3_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
179,cp3_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
180,cp3_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
181,cp3_4_time2,m_flow,delp,0.0,0.0,0.0,0,0.003414146066611,0,0.10780566059883201,0,0.293287808886842,0.0
182,dist_np_combi_0_0_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
183,dist_np_combi_0_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
184,dist_np_combi_0_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
185,dist_np_combi_0_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
186,dist_np_combi_1_0_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
187,dist_np_combi_1_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
188,dist_np_combi_1_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
189,dist_np_combi_1_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060765360187664316,0,0.029804118280591665,0,0.04663682694529259,0.0
190,dist_np_combi_2_0_time2,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
191,dist_np_combi_2_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
192,dist_np_combi_2_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
193,dist_np_combi_2_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.005651971661060482,0,0.04445567650577749,0,0.39557425044030553,0.0
194,dist_np_combi_3_0_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
195,dist_np_combi_3_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
196,dist_np_combi_3_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
197,dist_np_combi_3_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.0060450194113137925,0,0.09024004092598133,0,0.7694938261361537,0.0
198,dist_np_combi_4_0_time2,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
199,dist_np_combi_4_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
200,dist_np_combi_4_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
201,dist_np_combi_4_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.005594442617352094,0,0.17780603070754328,0,1.9775282632270061,0.0
202,dist_np_combi_5_0_time2,m_flow,delp,0.0,0.322729109233026,1.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.033933910967670754
203,dist_np_combi_5_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0
204,dist_np_combi_5_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0
205,dist_np_combi_5_3_time2,m_flow,delp,0.0,0.0,0.0,0,0.004394427412765004,0,0.02362278982659845,0,0.026310149049333646,0.0
206,dist_np_combi_6_0_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
207,dist_np_combi_6_1_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
208,dist_np_combi_6_2_time2,m_flow,delp,0.0,0.0,0.0,0,0.00378381941874153,0,0.05698329580922916,0,0.22358424956826825,0.0
