,power_Value,power_Weight,operation_cost_Value,operation_cost_Weight,Rep_obj_value
0,12265.127758858087,0.0,4965.769378779436,1.0,4965.769378779044
1,12265.127758858085,0.008333333333333333,4965.769378779435,0.9916666666666668,4959.340441540144
2,12262.112193152314,0.016666666666666666,4965.576506212469,0.9833333333333332,4952.704659095543
3,12265.127758858078,0.025,4965.7693787794315,0.975,4946.482567059312
4,12267.394083620362,0.03333333333333333,4965.914330644905,0.9666666666666668,4940.219583736897
5,12261.826053638322,0.04166666666666666,4965.558205015284,0.9583333333333334,4933.375272647962
6,12261.826053638322,0.05,4965.558205015283,0.95,4926.938686175807
7,12265.127758858105,0.05833333333333333,4965.7693787794415,0.9416666666666668,4920.766818099029
8,12261.577022818205,0.06666666666666668,4965.542277253062,0.9333333333333332,4914.044969924382
9,12261.826053638326,0.075,4965.558205015285,0.925,4907.628926751169
10,12261.577022818194,0.08333333333333333,4965.5422772530555,0.9166666666666666,4901.1706430936265
11,12261.826053638324,0.09166666666666666,4965.558205015284,0.9083333333333332,4894.755753807934
12,12263.638655538147,0.1,4965.674137220192,0.9,4888.485491733948
13,12261.899309670254,0.10833333333333334,4965.56289039783,0.8916666666666666,4881.889472550804
14,12261.57702281821,0.11666666666666667,4965.542277253057,0.8833333333333333,4875.421989428894
15,12261.577022818205,0.125,4965.542277253061,0.875,4868.984826012127
16,12261.650278850193,0.13333333333333333,4965.546962635618,0.8666666666666667,4862.5550634335295
17,12261.57702281824,0.14166666666666666,4965.542277253076,0.8583333333333334,4856.110499178284
18,12263.63865553815,0.15,4965.674137220196,0.85,4849.891168995572
19,12261.577022818203,0.15833333333333333,4965.54227725306,0.8416666666666667,4843.236172347793
20,12261.826053638322,0.16666666666666666,4965.558205015284,0.8333333333333334,4836.826475546096
21,12261.577022818197,0.175,4965.542277253057,0.825,4830.361845514992
22,12261.577022818206,0.18333333333333326,4965.542277253061,0.8166666666666667,4823.9246820987355
23,12261.789906300266,0.19166666666666665,4965.555893067699,0.8083333333333333,4817.512478057356
24,12261.826053638322,0.2,4965.558205015284,0.8,4811.080129652143
25,12261.826053638331,0.20833333333333331,4965.558205015288,0.7916666666666666,4804.643543179149
26,12261.577022818197,0.21666666666666667,4965.542277253057,0.7833333333333333,4798.176028432768
27,12263.638655538147,0.225,4965.674137220196,0.775,4791.999684880058
28,12261.5770228182,0.2333333333333333,4965.542277253059,0.7666666666666666,4785.301701601633
29,12261.577022818206,0.2416666666666667,4965.542277253062,0.7583333333333333,4778.864538185328
30,12261.577022818203,0.25,4965.54227725306,0.75,4772.42737477077
31,12261.650278850133,0.2583333333333333,4965.546962635602,0.7416666666666667,4766.000157932437
32,12261.650278850106,0.26666666666666666,4965.546962635589,0.7333333333333334,4759.563164234945
33,12263.887686358246,0.275,4965.690064982405,0.725,4753.440329009031
34,12261.826053638297,0.2833333333333333,4965.558205015269,0.7166666666666667,4746.714264920869
35,12261.826053638328,0.2916666666666667,4965.558205015286,0.7083333333333333,4740.277678446032
36,12263.638655538156,0.3,4965.674137220198,0.7,4734.108200767958
37,12261.577022818203,0.3083333333333333,4965.542277253059,0.6916666666666667,4727.367230854144
38,12261.826053638339,0.31666666666666665,4965.558205015291,0.6833333333333333,4720.9679190261595
39,12261.57702281823,0.325,4965.542277253072,0.675,4714.492904023762
40,12261.826053638344,0.3333333333333333,4965.558205015292,0.6666666666666667,4708.094746076367
41,12261.826053638299,0.3416666666666667,4965.55820501527,0.6583333333333333,4701.658159604769
42,12261.577022818748,0.35,4965.542277253101,0.65,4695.181413775153
43,12261.826053638295,0.3583333333333333,4965.558205015269,0.6416666666666666,4688.784986660298
44,12261.826053638317,0.36666666666666653,4965.558205015281,0.6333333333333333,4682.348400187589
45,12261.863162332163,0.375,4965.560578450233,0.625,4675.918055870139
46,12261.5770228182,0.3833333333333333,4965.542277253059,0.6166666666666667,4669.432760111094
47,12261.826053638299,0.39166666666666666,4965.55820501527,0.6083333333333334,4663.038640766022
48,12261.82605363832,0.4,4965.558205015278,0.6,4656.602054290094
49,12261.577022818223,0.4083333333333333,4965.542277253068,0.5916666666666667,4650.1212698627105
50,12261.577022818205,0.4166666666666667,4965.542277253061,0.5833333333333333,4643.684106447646
51,12261.826053638306,0.425,4965.558205015276,0.575,4637.292294869919
52,12261.826053638317,0.43333333333333335,4965.558205015283,0.5666666666666667,4630.85570840004
53,12261.826053638313,0.44166666666666665,4965.55820501528,0.5583333333333333,4624.419121922926
54,12263.638655538127,0.45,4965.674137220182,0.55,4618.325232539679
55,12261.826053638346,0.4583333333333333,4965.558205015293,0.5416666666666667,4611.545948979273
56,12261.826053638351,0.4666666666666667,4965.558205015296,0.5333333333333333,4605.109362503585
57,12261.577022818197,0.475,4965.542277253056,0.525,4598.623962532563
58,12261.826053638319,0.4833333333333333,4965.558205015282,0.5166666666666666,4592.23618955996
59,12261.577022818201,0.4916666666666666,4965.542277253059,0.5083333333333333,4585.749635699472
60,12261.5770228182,0.5,4965.542277253058,0.5,4579.31247228526
61,12261.826053638315,0.5083333333333333,4965.558205015282,0.4916666666666667,4572.926430136363
62,12261.577022818197,0.5166666666666666,4965.542277253056,0.4833333333333334,4566.438145452831
63,12261.577022818174,0.525,4965.542277253044,0.475,4560.000982037333
64,12261.650278850157,0.5333333333333333,4965.546962635616,0.4666666666666667,4553.579365832997
65,12261.57702281822,0.5416666666666666,4965.542277253066,0.4583333333333334,4547.126655201493
66,12261.650278850104,0.55,4965.546962635589,0.45,4540.705378435618
67,12261.826053638295,0.5583333333333333,4965.55820501528,0.44166666666666665,4534.30691129649
68,12261.826053638291,0.5666666666666667,4965.558205015265,0.43333333333333335,4527.870324823391
69,12261.577022818197,0.575,4965.542277253057,0.425,4521.378001537748
70,12261.577022818205,0.5833333333333334,4965.542277253059,0.4166666666666666,4514.940838123017
71,12261.826053638342,0.5916666666666667,4965.558205015292,0.4083333333333333,4508.560565403899
72,12261.826053638317,0.6,4965.558205015282,0.4,4502.123978930367
73,12261.577022818205,0.6083333333333333,4965.542277253059,0.3916666666666667,4495.629347873642
74,12261.57702281821,0.6166666666666667,4965.54227725306,0.3833333333333333,4489.192184458865
75,12261.826053638291,0.625,4965.558205015267,0.375,4482.814219511251
76,12261.826053638319,0.6333333333333333,4965.5582050152825,0.3666666666666667,4476.377633034376
77,12261.826053638293,0.6416666666666666,4965.558205015267,0.3583333333333334,4469.941046563683
78,12261.577022818197,0.65,4965.542277253057,0.35,4463.443530794036
79,12261.826053638319,0.6583333333333333,4965.558205015282,0.3416666666666667,4457.067873613986
80,12262.11219315226,0.6666666666666666,4965.576506212442,0.33333333333333337,4450.702621492172
81,12261.789906300259,0.675,4965.555893067696,0.325,4444.185605421298
82,12261.577022818183,0.6833333333333333,4965.542277253042,0.31666666666666665,4437.694877132068
83,12261.577022818206,0.6916666666666667,4965.542277253062,0.3083333333333333,4431.257713713398
84,12261.577022818201,0.7,4965.542277253059,0.30000000000000004,4424.820550295442
85,12261.577022818194,0.7083333333333334,4965.5422772530555,0.29166666666666663,4418.383386878872
86,12158.882992231536,0.7166666666666667,5052.967607836615,0.2833333333333333,4411.548687807521
87,12158.882992231565,0.725,5052.967607836628,0.275,4404.090328267464
88,12158.882992231553,0.7333333333333333,5052.967607836629,0.2666666666666667,4396.631968738832
