Day of week,Date,Month,Year ,Hour,ar1_power,ar2_power,ar3_power,af1_power,af2_power,af3_power,af11_power,af12_power,af21_power,af22_power,af31_power,af32_power,af33_power
7,3,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,0,22
7,3,1,2016,19,0,84,0,0,9,0,0,0,0,0,0,0,22
7,3,1,2016,20,0,83,0,0,10,0,0,0,0,0,0,0,22
7,3,1,2016,21,0,83,0,0,10,0,0,0,0,0,0,0,23
7,3,1,2016,22,0,84,0,0,10,0,0,0,0,0,0,0,22
7,3,1,2016,23,0,83,0,0,10,0,0,0,0,0,0,0,19
1,4,1,2016,0,0,84,0,0,9,0,0,0,0,0,0,0,17
1,4,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,0,17
1,4,1,2016,2,0,84,0,0,10,0,0,0,0,0,0,0,18
1,4,1,2016,3,0,43,0,0,5,0,0,0,0,0,3,0,9
1,4,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
1,4,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1,4,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
1,4,1,2016,7,0,0,0,0,0,0,0,0,0,0,6,0,0
1,4,1,2016,8,0,64,0,0,10,0,0,0,0,0,11,0,0
1,4,1,2016,9,0,84,0,0,10,0,0,0,0,0,8,0,19
1,4,1,2016,10,0,83,0,0,10,0,0,0,0,0,0,0,25
1,4,1,2016,11,0,83,0,0,10,0,0,0,0,0,0,0,23
1,4,1,2016,12,0,84,0,0,10,0,0,0,0,0,0,0,25
1,4,1,2016,13,0,83,0,0,10,0,0,0,0,0,0,0,25
1,4,1,2016,14,0,84,0,0,9,0,0,0,0,0,0,0,25
1,4,1,2016,15,0,84,0,0,10,0,0,0,0,0,0,0,24
1,4,1,2016,16,0,83,0,0,10,0,0,0,0,0,0,0,24
1,4,1,2016,17,0,84,0,0,10,0,0,0,0,0,0,16,9
1,4,1,2016,18,0,84,0,0,10,0,0,0,0,0,0,26,0
1,4,1,2016,19,0,84,0,0,10,0,0,0,0,0,0,27,0
1,4,1,2016,20,0,83,0,0,9,0,0,0,0,0,0,27,0
1,4,1,2016,21,0,84,0,0,10,0,0,0,0,0,0,26,0
1,4,1,2016,22,0,84,0,0,10,0,0,0,0,0,0,24,0
1,4,1,2016,23,0,84,0,0,10,0,0,0,0,0,0,21,0
2,5,1,2016,0,0,84,0,0,10,0,0,0,0,0,0,18,0
2,5,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,18,0
2,5,1,2016,2,0,38,0,0,4,0,0,0,0,0,3,7,0
2,5,1,2016,3,0,0,0,0,0,0,0,0,0,0,5,0,0
2,5,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
2,5,1,2016,5,0,0,0,0,0,0,0,0,0,0,6,0,0
2,5,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
2,5,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
2,5,1,2016,8,0,0,0,0,0,0,0,0,0,0,6,0,0
2,5,1,2016,9,0,0,0,0,0,0,0,0,0,0,7,0,0
2,5,1,2016,10,0,0,0,0,0,0,0,0,0,0,7,0,0
2,5,1,2016,11,7,13,0,2.209,4,0,0,0,0,0,9,16,0
2,5,1,2016,12,0,82,0,0,11,0,0,0,0,0,0,28,0
2,5,1,2016,13,0,81,0,0,9,0,0,0,0,0,0,28,0
2,5,1,2016,14,0,82,0,0,10,0,0,0,0,0,0,24,0
2,5,1,2016,15,0,82,0,0,10,0,0,0,0,0,0,24,0
2,5,1,2016,16,0,82,0,0,10,0,0,0,0,0,0,23,0
2,5,1,2016,17,0,82,0,0,10,0,0,0,0,0,0,27,0
2,5,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,25,0
2,5,1,2016,19,0,82,0,0,10,0,0,0,0,0,0,25,0
2,5,1,2016,20,0,82,0,0,10,0,0,0,0,0,0,25,0
2,5,1,2016,21,0,82,0,0,10,0,0,0,0,0,0,22,0
2,5,1,2016,22,0,83,0,0,9,0,0,0,0,0,0,22,0
2,5,1,2016,23,0,83,0,0,10,0,0,0,0,0,0,20,0
3,6,1,2016,0,0,83,0,0.372,10,0,0,0,0,0,0,19,0
3,6,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,18,0
3,6,1,2016,2,0,1,0,0,0,0,0,0,0,0,5,0,0
3,6,1,2016,3,0,0,0,0,0,0,0,0,0,0,6,0,0
3,6,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
3,6,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
3,6,1,2016,6,0,0,0,0,0,0,0,0,0,0,6,0,0
3,6,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
3,6,1,2016,8,0,0,0,0,0,0,0,0,0,0,6,0,0
3,6,1,2016,9,0,50,0,0,9,0,0,0,0,0,5,12,4
3,6,1,2016,10,0,83,0,0,9,0,0,0,0,0,0,0,19
3,6,1,2016,11,0,83,0,0,10,0,0,0,0,0,0,0,23
3,6,1,2016,12,0,84,0,0,13,0,0,0,0,0,0,0,35
3,6,1,2016,13,0,83,0,0,14,0,0,0,0,0,0,0,35
3,6,1,2016,14,0,85,0,0,16,0,0,0,0,0,0,0,38
3,6,1,2016,15,0,84,0,0,13,0,0,0,0,0,0,0,29
3,6,1,2016,16,0,83,0,0,10,0,0,0,0,0,0,0,20
3,6,1,2016,17,0,83,0,0,9,0,0,0,0,0,0,0,19
3,6,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,0,18
3,6,1,2016,19,0,83,0,0,10,0,0,0,0,0,0,0,18
3,6,1,2016,20,0,84,0,0,10,0,0,0,0,0,0,0,18
3,6,1,2016,21,0,83,0,0,10,0,0,0,0,0,0,0,18
3,6,1,2016,22,0,84,0,0,10,0,0,0,0,0,0,0,19
3,6,1,2016,23,0,85,0,0,9,0,0,0,0,0,0,0,18
4,7,1,2016,0,0,84,0,0,10,0,0,0,0,0,0,0,19
4,7,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,0,17
4,7,1,2016,2,0,78,0,0,9,0,0,0,0,0,5,0,9
4,7,1,2016,3,0,0,0,0,0,0,0,0,0,0,6,0,0
4,7,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
4,7,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
4,7,1,2016,6,0,0,0,0,0,0,0,0,0,0,6,0,0
4,7,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
4,7,1,2016,8,0,51,0,0,9,0,0,0,0,0,5,0,16
4,7,1,2016,9,0,83,0,0,10,0,0,0,0,0,0,0,19
4,7,1,2016,10,0,84,0,0,10,0,0,0,0,0,0,0,24
4,7,1,2016,11,0,83,0,0,9,0,0,0,0,0,0,0,24
4,7,1,2016,12,0,83,0,0,10,0,0,0,0,0,0,0,21
4,7,1,2016,13,0,83,0,0,10,0,0,0,0,0,0,0,23
4,7,1,2016,14,0,83,0,0,10,0,0,0,0,0,0,0,22
4,7,1,2016,15,0,83,0,0,10,0,0,0,0,0,0,16,6
4,7,1,2016,16,0,83,0,0,10,0,0,0,0,0,0,22,0
4,7,1,2016,17,0,84,0,0,9,0,0,0,0,0,0,23,0
4,7,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,25,0
4,7,1,2016,19,0,83,0,0,10,0,0,0,0,0,0,24,0
4,7,1,2016,20,0,83,0,0,10,0,0,0,0,0,0,26,0
4,7,1,2016,21,0,84,0,0,10,0,0,0,0,0,0,26,0
4,7,1,2016,22,0,83,0,0,10,0,0,0,0,0,0,24,0
4,7,1,2016,23,0,83,0,0,9,0,0,0,0,0,0,21,0
5,8,1,2016,0,0,84,0,0,10,0,0,0,0,0,0,18,0
5,8,1,2016,1,0,83,0,0,10,0,0,0,0,0,0,18,0
5,8,1,2016,2,0,29,0,0,3,0,0,0,0,0,3,5,0
5,8,1,2016,3,0,0,0,0,0,0,0,0,0,0,6,0,0
5,8,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
5,8,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
5,8,1,2016,6,0,0,0,0,0,0,0,0,0,0,6,0,0
5,8,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
5,8,1,2016,8,0,0,0,0,0,0,0,0,0,0,5,0,0
5,8,1,2016,9,0,70,0,0,11,0,0,0,0,0,4,21,0
5,8,1,2016,10,0,81,0,0,11,0,0,0,0,0,0,29,0
5,8,1,2016,11,0,81,0,0,13,0,0,0,0,0,0,32,0
5,8,1,2016,12,0,81,0,0,10,0,0,0,0,0,0,28,0
5,8,1,2016,13,0,81,0,0,9,0,0,0,0,0,0,28,0
5,8,1,2016,14,0,82,0,0,10,0,0,0,0,0,0,28,0
5,8,1,2016,15,0,81,0,0,10,0,0,0,0,0,0,28,0
5,8,1,2016,16,0,81,0,0,10,0,0,0,0,0,0,28,0
5,8,1,2016,17,0,82,0,0,10,0,0,0,0,0,0,29,0
5,8,1,2016,18,0,81,0,0,9,0,0,0,0,0,0,30,0
5,8,1,2016,19,0,82,0,0,10,0,0,0,0,0,0,29,0
5,8,1,2016,20,0,81,0,0,10,0,0,0,0,0,0,30,0
5,8,1,2016,21,0,82,0,0,10,0,0,0,0,0,0,26,0
5,8,1,2016,22,0,81,0,0,9,0,0,0,0,0,0,3,24
5,8,1,2016,23,0,82,0,0,10,0,0,0,0,0,0,0,22
6,9,1,2016,0,0,82,0,0,10,0,0,0,0,0,0,0,19
6,9,1,2016,1,0,82,0,0,10,0,0,0,0,0,0,0,17
6,9,1,2016,2,0,82,0,0,10,0,0,0,0,0,0,0,18
6,9,1,2016,3,0,17,0,0,2,0,0,0,0,0,4,0,3
6,9,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
6,9,1,2016,5,0,0,0,0,0,0,0,0,0,0,6,0,0
6,9,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
6,9,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
6,9,1,2016,8,0,0,0,0,0,0,0,0,0,0,7,0,0
6,9,1,2016,9,0,74,0,0,12,0,0,0,0,0,2,0,29
6,9,1,2016,10,0,83,0,0,10,0,0,0,0,0,0,0,27
6,9,1,2016,11,0,83,0,0,10,0,0,0,0,0,0,0,23
6,9,1,2016,12,0,82,0,0,10,0,0,0,0,0,0,0,23
6,9,1,2016,13,0,83,0,0,10,0,0,0,0,0,0,0,26
6,9,1,2016,14,0,82,0,0,9,0,0,0,0,0,0,0,25
6,9,1,2016,15,0,83,0,0,10,0,0,0,0,0,0,0,25
6,9,1,2016,16,0,82,0,0,10,0,0,0,0,0,0,0,24
6,9,1,2016,17,0,83,0,0,10,0,0,0,0,0,0,0,25
6,9,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,0,27
6,9,1,2016,19,0,82,0,0,9,0,0,0,0,0,0,0,26
6,9,1,2016,20,0,83,0,0,10,0,0,0,0,0,0,0,26
6,9,1,2016,21,0,83,0,0,10,0,0,0,0,0,0,0,27
6,9,1,2016,22,0,82,0,0,10,0,0,0,0,0,0,0,26
6,9,1,2016,23,0,83,0,0,9,0,0,0,0,0,0,0,22
7,10,1,2016,0,0,83,0,0,10,0,0,0,0,0,0,0,18
7,10,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,0,17
7,10,1,2016,2,0,51,0,0,6,0,0,0,0,0,3,0,10
7,10,1,2016,3,0,0,0,0,0,0,0,0,0,0,5,0,0
7,10,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
7,10,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
7,10,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
7,10,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
7,10,1,2016,8,0,8,0,0,3,0,0,0,0,0,9,0,1
7,10,1,2016,9,0,82,0,0,11,0,0,0,0,0,0,0,32
7,10,1,2016,10,0,82,0,0,10,0,0,0,0,0,0,16,9
7,10,1,2016,11,0,82,0,0,9,0,0,0,0,0,0,21,0
7,10,1,2016,12,0,82,0,0,10,0,0,0,0,0,0,21,0
7,10,1,2016,13,0,82,0,0,10,0,0,0,0,0,0,22,0
7,10,1,2016,14,0,82,0,0,10,0,0,0,0,0,0,23,0
7,10,1,2016,15,0,82,0,0,10,0,0,0,0,0,0,23,0
7,10,1,2016,16,0,82,0,0,9,0,0,0,0,0,0,23,0
7,10,1,2016,17,0,82,0,0,10,0,0,0,0,0,0,24,0
7,10,1,2016,18,0,82,0,0,10,0,0,0,0,0,0,23,0
7,10,1,2016,19,0,82,0,0,10,0,0,0,0,0,0,25,0
7,10,1,2016,20,0,82,0,0,10,0,0,0,0,0,0,24,0
7,10,1,2016,21,0,83,0,0,9,0,0,0,0,0,0,24,0
7,10,1,2016,22,0,82,0,0,10,0,0,0,0,0,0,23,0
7,10,1,2016,23,0,82,0,0,10,0,0,0,0,0,0,19,0
1,11,1,2016,0,0,83,0,0,10,0,0,0,0,0,0,18,0
1,11,1,2016,1,0,83,0,0,10,0,0,0,0,0,0,18,0
1,11,1,2016,2,0,83,0,0,10,0,0,0,0,0,0,18,0
1,11,1,2016,3,0,28,0,0,3,0,0,0,0,0,3,5,0
1,11,1,2016,4,0,0,0,0,0,0,0,0,0,0,6,0,0
1,11,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1,11,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
1,11,1,2016,7,0,0,0,0,0,0,0,0,0,0,6,0,0
1,11,1,2016,8,0,0,55,0,0,8,0,0,0,0,16,0,0
1,11,1,2016,9,0,0,83,0,0,11,0,0,0,0,7,22,0
1,11,1,2016,10,0,0,84,0,0,10,0,0,0,0,0,24,0
1,11,1,2016,11,0,0,83,0,0,10,0,0,0,0,0,25,0
1,11,1,2016,12,0,0,82,0,0,9,0,0,0,0,0,27,0
1,11,1,2016,13,0,0,84,0,0,10,0,0,0,0,0,24,0
1,11,1,2016,14,0,0,83,0,0,10,0,0,0,0,0,23,0
1,11,1,2016,15,0,0,83,0,0,10,0,0,0,0,0,9,18
1,11,1,2016,16,0,0,83,0,0,10,0,0,0,0,0,0,25
1,11,1,2016,17,0,0,83,0,0,10,0,0,0,0,0,0,26
1,11,1,2016,18,0,0,83,0,0,10,0,0,0,0,0,0,26
1,11,1,2016,19,0,0,83,0,0,10,0,0,0,0,0,0,27
1,11,1,2016,20,0,0,83,0,0,10,0,0,0,0,0,0,25
1,11,1,2016,21,0,0,83,0,0,9,0,0,0,0,0,0,23
1,11,1,2016,22,0,0,83,0,0,10,0,0,0,0,0,0,21
1,11,1,2016,23,0,0,83,0,0,10,0,0,0,0,0,0,22
2,12,1,2016,0,0,0,83,0,0,10,0,0,0,0,0,0,18
2,12,1,2016,1,0,0,83,0,0,10,0,0,0,0,0,0,17
2,12,1,2016,2,0,0,84,0,0,10,0,0,0,0,0,0,18
2,12,1,2016,3,0,0,85,0,0,10,0,0,0,0,0,0,18
2,12,1,2016,4,0,0,84,0,0,10,0,0,0,0,0,0,17
2,12,1,2016,5,0,0,85,0,0,10,0,0,0,0,0,0,18
2,12,1,2016,6,0,0,85,0,0,9,0,0,0,0,0,0,18
2,12,1,2016,7,0,0,85,0,0,10,0,0,0,0,0,0,17
2,12,1,2016,8,0,0,85,0,0,10,0,0,0,0,0,0,18
2,12,1,2016,9,0,0,85,0,0,11,0,0,0,0,0,0,26
2,12,1,2016,10,0,0,85,0,0,10,0,0,0,0,0,0,23
2,12,1,2016,11,0,0,84,0,0,10,0,0,0,0,0,0,22
2,12,1,2016,12,0,0,83,0,0,10,0,0,0,0,0,0,23
2,12,1,2016,13,0,0,84,0,0,9,0,0,0,0,0,0,26
2,12,1,2016,14,0,0,83,0,0,10,0,0,0,0,0,0,27
2,12,1,2016,15,0,0,84,0,0,10,0,0,0,0,0,19,8
2,12,1,2016,16,0,0,84,0,0,10,0,0,0,0,0,27,0
2,12,1,2016,17,0,0,83,0,0,10,0,0,0,0,0,28,0
2,12,1,2016,18,0,0,84,0,0,10,0,0,0,0,0,29,0
2,12,1,2016,19,0,77,3,0,12,0,0,0,0,0,0,31,0
2,12,1,2016,20,0,81,0,0,10,0,0,0,0,0,0,28,0
2,12,1,2016,21,0,81,0,0,9,0,0,0,0,0,0,26,0
2,12,1,2016,22,0,82,0,0,10,0,0,0,0,0,0,24,0
2,12,1,2016,23,0,81,0,0,10,0,0,0,0,0,0,23,0
3,13,1,2016,0,0,82,0,0,12,0,0,0,0,0,0,34,0
3,13,1,2016,1,0,82,0,0,10,0,0,0,0,0,0,19,0
3,13,1,2016,2,0,83,0,0,10,0,0,0,0,0,0,18,0
3,13,1,2016,3,0,28,0,0,3,0,0,0,0,0,0,11,0
3,13,1,2016,4,0,0,0,0,0,0,0,0,0,0,0,8,0
3,13,1,2016,5,0,0,0,0,0,0,0,0,0,0,0,9,0
3,13,1,2016,6,0,0,0,0,0,0,0,0,0,0,0,8,0
3,13,1,2016,7,0,0,0,0,0,0,0,0,0,0,0,8,0
3,13,1,2016,8,0,69,0,0,11,0,0,0,0,0,0,18,0
3,13,1,2016,9,0,82,0,0,11,0,0,0,0,0,0,30,0
3,13,1,2016,10,0,81,0,0,10,0,0,0,0,0,0,27,0
3,13,1,2016,11,0,82,0,0,10,0,0,0,0,0,0,27,0
3,13,1,2016,12,0,82,0,0,10,0,0,0,0,0,0,27,0
3,13,1,2016,13,0,81,0,0,9,0,0,0,0,0,0,27,0
3,13,1,2016,14,0,82,0,0,10,0,0,0,0,0,0,26,0
3,13,1,2016,15,0,82,0,0,10,0,0,0,0,0,0,27,0
3,13,1,2016,16,0,82,0,0,10,0,0,0,0,0,0,27,0
3,13,1,2016,17,0,82,0,0,10,0,0,0,0,0,0,28,0
3,13,1,2016,18,0,82,0,0,10,0,0,0,0,0,0,28,0
3,13,1,2016,19,0,81,0,0,9,0,0,0,0,0,0,28,0
3,13,1,2016,20,0,82,0,0,10,0,0,0,0,0,0,3,25
3,13,1,2016,21,0,82,0,0,10,0,0,0,0,0,0,0,27
3,13,1,2016,22,0,82,0,0,10,0,0,0,0,0,0,0,25
3,13,1,2016,23,0,82,0,0,10,0,0,0,0,0,0,0,22
4,14,1,2016,0,0,82,0,0,9,0,0,0,0,0,0,0,24
4,14,1,2016,1,0,83,0,0,13,0,0,0,0,0,0,0,34
4,14,1,2016,2,0,83,0,0,10,0,0,0,0,0,0,0,24
4,14,1,2016,3,0,21,0,0,2,0,0,0,0,0,0,0,10
4,14,1,2016,4,0,0,0,0,0,0,0,0,0,0,0,0,8
4,14,1,2016,5,0,0,0,0,0,0,0,0,0,0,0,0,8
4,14,1,2016,6,0,8,0,0,3,0,0,0,0,0,2,0,8
4,14,1,2016,7,0,82,0,0,11,0,0,0,0,0,12,0,0
4,14,1,2016,8,0,82,0,0,10,0,0,0,0,0,9,0,17
4,14,1,2016,9,0,73,8,0,11,3,0,0,0,0,0,0,20
4,14,1,2016,10,0,81,0,0,13,0,0,0,0,0,0,0,33
4,14,1,2016,11,0,81,0,0,10,0,0,0,0,0,0,0,27
4,14,1,2016,12,0,80,0,0,10,0,0,0,0,0,0,0,30
4,14,1,2016,13,0,81,0,0,10,0,0,0,0,0,0,0,27
4,14,1,2016,14,0,81,0,0,10,0,0,0,0,0,0,0,27
4,14,1,2016,15,0,81,0,0,9,0,0,0,0,0,0,0,26
4,14,1,2016,16,15,20,20,5.612,3,10,0,0,0,0,0,0,31
4,14,1,2016,17,23,0,58,7.599,0,10,0,0,0,0,0,0,28
4,14,1,2016,18,17,0,41,5.562,0,7,0,0,0,0,0,0,34
4,14,1,2016,19,0,0,83,0,0,10,0,0,0,0,0,0,28
4,14,1,2016,20,0,0,82,0,0,10,0,0,0,0,0,0,29
4,14,1,2016,21,0,0,83,0,0,9,0,0,0,0,0,0,25
4,14,1,2016,22,0,0,82,0,0,10,0,0,0,0,0,0,25
4,14,1,2016,23,0,0,82,0,0,10,0,0,0,0,0,6,18
5,15,1,2016,0,0,0,83,0,0,10,0,0,0,0,0,21,0
5,15,1,2016,1,0,0,82,0,0,10,0,0,0,0,0,22,0
5,15,1,2016,2,0,0,83,0,0,10,0,0,0,0,0,21,0
5,15,1,2016,3,0,0,25,0,0,3,0,0,0,0,0,11,0
5,15,1,2016,4,0,0,0,0,0,0,0,0,0,0,0,8,0
5,15,1,2016,5,0,0,0,0,0,0,0,0,0,0,0,8,0
5,15,1,2016,6,0,0,0,0,0,0,0,0,0,0,0,8,0
5,15,1,2016,7,19,7,0,7.308,3,0,0,0,0,0,26,0,0
5,15,1,2016,8,14,64,0,5.603,13,0,0,0,0,0,11,22,0
5,15,1,2016,9,19,0,0,7.38,0,0,0,0,0,0,0,20,0
5,15,1,2016,10,20,0,0,8,0,0,0,0,0,0,0,23,0
5,15,1,2016,11,19,0,0,8,0,0,0,0,0,0,0,32,0
5,15,1,2016,12,10,64,0,3,10,0,0,0,0,0,0,33,0
5,15,1,2016,13,9,83,0,4,10,0,0,0,0,0,0,28,0
5,15,1,2016,14,0,83,0,0,10,0,0,0,0,0,0,28,0
5,15,1,2016,15,0,82,0,0,10,0,0,0,0,0,0,27,0
5,15,1,2016,16,0,83,0,0,10,0,0,0,0,0,0,26,0
5,15,1,2016,17,0,82,0,0,10,0,0,0,0,0,0,28,0
5,15,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,28,0
5,15,1,2016,19,0,82,0,0,9,0,0,0,0,0,0,28,0
5,15,1,2016,20,0,83,0,0,10,0,0,0,0,0,0,29,0
5,15,1,2016,21,0,82,0,0,10,0,0,0,0,0,0,27,0
5,15,1,2016,22,0,83,0,0,10,0,0,0,0,0,0,26,0
5,15,1,2016,23,0,83,0,0,10,0,0,0,0,0,0,22,0
6,16,1,2016,0,0,83,0,0,9,0,0,0,0,0,0,20,0
6,16,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,23,0
6,16,1,2016,2,0,84,0,0,10,0,0,0,0,0,0,20,0
6,16,1,2016,3,0,53,0,0,6,0,0,0,0,0,0,10,4
6,16,1,2016,4,0,0,0,0,0,0,0,0,0,0,0,0,9
6,16,1,2016,5,0,0,0,0,0,0,0,0,0,0,0,0,8
6,16,1,2016,6,0,0,0,0,0,0,0,0,0,0,0,0,8
6,16,1,2016,7,0,0,0,0,0,0,0,0,0,0,0,0,8
6,16,1,2016,8,0,70,0,0,11,0,0,0,0,0,9,0,16
6,16,1,2016,9,3,77,0,1,9,0,0,0,0,0,0,0,18
6,16,1,2016,10,19,0,0,8,0,0,0,0,0,0,0,0,22
6,16,1,2016,11,20,0,0,8,0,0,0,0,0,0,0,0,23
6,16,1,2016,12,20,0,0,7,0,0,0,0,0,0,0,0,22
