Day of week,Date,Month,Year ,Hour,ar1_power,ar2_power,ar3_power,af1_power,af2_power,af3_power,af11_power,af12_power,af21_power,af22_power,af31_power,af32_power,af33_power
5,1,1,2016,0,0,83,0,0,9,0,0,0,0,0,0,19,0
5,1,1,2016,1,0,82,0,0,10,0,0,0,0,0,0,17,0
5,1,1,2016,2,0,18,0,0,2,0,0,0,0,0,4,4,0
5,1,1,2016,3,0,0,0,0,0,0,0,0,0,0,5,0,0
5,1,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
5,1,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
5,1,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
5,1,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
5,1,1,2016,8,0,51,0,0,8,0,0,0,0,0,12,9,0
5,1,1,2016,9,0,82,0,0,10,0,0,0,0,0,0,17,0
5,1,1,2016,10,0,81,0,0,10,0,0,0,0,0,0,18,0
5,1,1,2016,11,0,82,0,0,10,0,0,0,0,0,0,20,0
5,1,1,2016,12,0,82,0,0,10,0,0,0,0,0,0,17,0
5,1,1,2016,13,0,82,0,0,9,0,0,0,0,0,0,18,0
5,1,1,2016,14,0,82,0,0,10,0,0,0,0,0,0,18,0
5,1,1,2016,15,0,81,0,0,10,0,0,0,0,0,0,18,0
5,1,1,2016,16,0,82,0,0,10,0,0,0,0,0,0,17,0
5,1,1,2016,17,0,82,0,0,10,0,0,0,0,0,0,20,0
5,1,1,2016,18,0,83,0,0,9,0,0,0,0,0,0,18,0
5,1,1,2016,19,0,82,0,0,10,0,0,0,0,0,0,18,0
5,1,1,2016,20,0,82,0,0,10,0,0,0,0,0,0,19,0
5,1,1,2016,21,0,83,0,0,10,0,0,0,0,0,0,17,0
5,1,1,2016,22,0,82,0,0,9,0,0,0,0,0,0,19,0
5,1,1,2016,23,0,82,0,0,10,0,0,0,0,0,0,18,0
6,2,1,2016,0,0,82,0,0,10,0,0,0,0,0,0,16,3
6,2,1,2016,1,0,82,0,0,10,0,0,0,0,0,0,0,18
6,2,1,2016,2,0,82,0,0,10,0,0,0,0,0,0,0,18
6,2,1,2016,3,0,11,0,0,1,0,0,0,0,0,5,0,2
6,2,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
6,2,1,2016,5,0,0,0,0,0,0,0,0,0,0,6,0,0
6,2,1,2016,6,0,0,0,0,0,0,0,0,0,0,5,0,0
6,2,1,2016,7,0,0,0,0,0,0,0,0,0,0,6,0,0
6,2,1,2016,8,0,42,0,0,8,0,0,0,0,0,6,14,0
6,2,1,2016,9,0,82,0,0,10,0,0,0,0,0,0,20,0
6,2,1,2016,10,0,82,0,0,10,0,0,0,0,0,0,21,0
6,2,1,2016,11,0,83,0,0,9,0,0,0,0,0,0,19,0
6,2,1,2016,12,0,83,0,0,10,0,0,0,0,0,0,21,0
6,2,1,2016,13,0,82,0,0,10,0,0,0,0,0,0,22,0
6,2,1,2016,14,0,83,0,0,10,0,0,0,0,0,0,23,0
6,2,1,2016,15,0,83,0,0,10,0,0,0,0,0,0,22,0
6,2,1,2016,16,0,83,0,0,9,0,0,0,0,0,0,21,0
6,2,1,2016,17,0,83,0,0,10,0,0,0,0,0,0,22,0
6,2,1,2016,18,0,83,0,0,10,0,0,0,0,0,0,23,0
6,2,1,2016,19,0,83,0,0,10,0,0,0,0,0,0,24,0
6,2,1,2016,20,0,83,0,0,10,0,0,0,0,0,0,24,0
6,2,1,2016,21,0,83,0,0,9,0,0,0,0,0,0,23,0
6,2,1,2016,22,0,84,0,0,10,0,0,0,0,0,0,24,0
6,2,1,2016,23,0,83,0,0,10,0,0,0,0,0,0,19,0
7,3,1,2016,0,0,83,0,0,10,0,0,0,0,0,0,18,0
7,3,1,2016,1,0,84,0,0,10,0,0,0,0,0,0,17,0
7,3,1,2016,2,0,23,0,0,2,0,0,0,0,0,3,5,0
7,3,1,2016,3,0,0,0,0,0,0,0,0,0,0,5,0,0
7,3,1,2016,4,0,0,0,0,0,0,0,0,0,0,5,0,0
7,3,1,2016,5,0,0,0,0,0,0,0,0,0,0,5,0,0
7,3,1,2016,6,0,0,0,0,0,0,0,0,0,0,6,0,0
7,3,1,2016,7,0,0,0,0,0,0,0,0,0,0,5,0,0
7,3,1,2016,8,0,23,0,0,5,0,0,0,0,0,8,7,0
7,3,1,2016,9,0,83,0,0,10,0,0,0,0,0,0,17,0
7,3,1,2016,10,0,83,0,0,10,0,0,0,0,0,0,18,0
7,3,1,2016,11,0,84,0,0,10,0,0,0,0,0,0,28,0
7,3,1,2016,12,0,83,0,0,10,0,0,0,0,0,0,14,7
7,3,1,2016,13,0,84,0,0,9,0,0,0,0,0,0,0,22
7,3,1,2016,14,0,83,0,0,10,0,0,0,0,0,0,0,22
7,3,1,2016,15,0,84,0,0,10,0,0,0,0,0,0,0,21
7,3,1,2016,16,0,83,0,0,10,0,0,0,0,0,0,0,20
7,3,1,2016,17,0,83,0,0,10,0,0,0,0,0,0,0,20
