ch1_cooling,ch2_cooling,ch3_cooling
348.1,0,0
8.4,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
491,0,0
7.6,0,0
586.1,0,0
781,0,0
1068.5,0,0
1101,0,0
1099,0,0
1088.8,0,0
1098.8,0,0
1091.5,0,0
1098.3,0,0
1098.6,0,0
1093.9,0,0
960.3,0,0
879.7,0,0
471.1,0,0
0,0,0
165,0,0
36.2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
186.3,0,0
816.6,0,0
608.4,0,0
743.7,0,0
1099.1,0,0
1058,0,0
0,0,1166
0,0,976.3
0,0,974.1
0,0,1028.7
0,0,990.5
0,0,963.8
20.8,0,991.6
168.7,0,923.7
0,0,1158.5
0,0,437.8
0,0,0
0,0,117.8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,130.1
0,0,951.3
0,0,244.8
0,0,605.5
0,0,1194.8
0,0,1216.9
0,0,1082.8
0,0,1127.8
0,0,1088.1
0,0,1062.6
0,0,1077.5
0,0,1065.1
0,0,987.6
0,0,995.6
0,0,877.9
0,0,318.5
0,0,117.9
0,0,38.4
0,0,33.9
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,120.6
0,0,253.1
0,0,467.6
0,0,1285.8
411.2,0,701.4
1091.4,0,0
1157.7,0,0
1145.8,0,0
1117.4,0,0
1098.9,0,0
1098.4,0,0
1098.4,0,0
531.4,0,506.7
0,0,1316.8
0,0,1023.8
0,0,506
0,0,204.6
0,0,183.7
0,0,149.3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,971.3
0,0,89.7
0,0,841.9
0,0,923.1
0,0,1315.2
0,0,1177.2
0,0,1174.3
871,0,79.9
1086.5,0,0
1006.5,0,0
1079.9,0,0
1098,0,0
1098,0,0
1098.6,0,0
1098.6,0,0
792.4,0,0
439.4,0,0
439.4,0,0
266.5,0,0
72.1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
756.2,0,0
748.3,0,0
970.6,0,0
1206.7,0,0
1098.6,0,0
1098.7,0,0
1099,0,0
107,0,1049.6
0,0,1056.5
852,0,99
1099,0,0
482,0,599.2
0,0,1426.9
0,0,1119.1
0,0,558.9
0,0,196.1
0,0,109.9
0,0,192.5
0,0,5.8
0,0,0
0,0,367.7
0,0,0
0,0,243.5
0,0,186.6
0,0,1372.4
0,0,53.3
0,0,1022.5
0,0,1318.3
0,0,1385
0,0,1429.7
0,0,1421.9
0,0,1306.6
0,0,1206.3
0,0,1239.5
0,0,1249
0,0,1289.2
0,0,1321.4
0,0,1291.2
0,0,588.4
0,407,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,8844,0
0,326,0
0,10,0
0,40,0
0,0,0
0,214,0
0,176,0
0,260,0
0,1457,0
0,617,0
0,1298,0
0,1268,0
0,1758,0
0,1757,0
0,1759,0
0,1757,0
0,1758,0
0,1758,0
0,1758,0
0,1752,0
0,1758,0
0,2243,0
0,2354,0
0,1571,0
0,14,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1327,0
0,890,0
0,1726,0
0,1121,186.1
0,0,1102.9
0,0,1214.1
0,0,1427.1
0,0,1389.2
0,0,1531.1
0,0,1620.8
0,0,1634.3
0,0,1932.9
0,0,1870.9
0,0,1860.4
0,0,1582.3
0,0,1466.1
0,0,1224.8
0,0,435.8
0,0,0
0,0,92.2
0,0,49.4
0,0,0
0,0,0
0,0,254.3
0,0,910.3
0,0,780.3
0,0,1408.3
0,0,324.2
0,0,1020.8
0,0,1257.4
0,0,1538.6
0,0,1695.3
0,0,1681.9
0,0,1781.4
0,0,1918
0,0,1951.2
0,0,1861.9
0,0,1854.7
0,0,1869.9
0,0,1232.6
0,0,1112.4
0,0,360.6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,171.4
0,0,399
0,0,351.8
0,0,1318.4
0,0,1189.3
0,0,1048.8
0,0,864.8
0,0,1218.4
0,0,1487.8
0,0,1498.3
0,0,1568
0,0,1660.7
0,0,1666
0,0,1565.2
0,0,1539.4
0,0,1429.8
0,0,1071.5
0,0,942.4
0,0,287.3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
554,0,0
1043,0,0
1137,0,0
950,0,0
679,0,525
67,0,905.1
878,0,0
883,0,340
519,0,858.1
0,0,1607.9
0,0,1613.7
0,0,1379.7
0,0,1362.8
0,0,1116.3
0,0,1015.3
0,0,352.4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
44,0,0
652,0,0
579,0,502.5
0,0,518.2
0,0,1255.8
0,0,1567.4
0,0,1391.1
0,0,1401
0,0,1001.1
0,0,947.9
0,0,910.3
0,0,930.7
0,0,1028.3
0,0,1016.4
0,0,1001.3
0,0,912.7
0,0,200.8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,40.5
0,0,185.3
0,0,180.9
0,0,487
0,0,117.4
0,0,245.3
0,0,373.2
0,0,331.2
0,0,338.3
807,0,0
719,0,0
659,0,0
659,0,0
660,0,0
609,0,0
484,0,0
401,0,0
6,0,0
300,0,0
287,0,0
9,0,0
0,0,0
0,0,0
0,0,0
0,0,0
120,0,43.7
294,0,617.4
0,0,1068.3
0,0,1591.7
0,0,1633.2
0,0,1667.4
0,0,1741.7
0,0,1754
0,0,1768.6
0,0,1859.7
0,0,1868.1
0,0,1876.9
0,0,1802.5
0,0,1790.8
0,0,1492.2
0,0,1339.1
0,0,784
0,0,345.5
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
149,0,0
416,0,584.5
0,0,354.2
0,0,1213.1
0,0,1636
0,0,1739.7
0,0,1668.1
0,0,1187
0,0,1171.8
0,0,1159
0,0,1205.8
0,0,1173.2
0,0,1159.8
0,0,1010
585,0,246.7
864,0,0
242,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
34,0,0
112,0,391.4
0,0,90.1
0,0,1169.4
0,0,1600.6
0,0,1619.8
0,0,1626
0,0,1629.9
0,0,1304.6
0,0,1099.2
0,0,1177.5
0,0,1111
0,0,1050
0,0,1092.3
0,0,754
0,0,490.3
0,0,236.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,566.4
0,0,586.9
0,0,1269.6
0,0,1548.6
0,0,1529.6
0,0,1637.8
0,0,1662.2
0,0,1733.4
0,0,1782.4
0,0,1796.4
0,0,1786.2
0,0,1788.8
0,0,1697.6
0,0,1480.7
0,0,1341.2
0,0,835
0,0,413.3
0,0,26.2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
28,0,0
107,0,0
342,0,840.9
0,0,1210.5
0,0,797.2
25,0,916.5
875,0,0
879,0,0
878,0,0
879,0,0
879,0,0
691,0,364.7
883,0,0
879,0,300.6
401,1,216.4
0,98,0
317,0,0
145,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
66,0,0
562,0,0
446,0,0
331,0,0
0,0,0
0,0,305.8
0,0,2247.5
0,0,959.6
0,0,502
0,0,817.2
0,0,1277.3
0,0,1552
0,0,1325
0,0,1340.9
0,0,1412.9
0,0,1097.9
0,0,774.9
0,0,253.8
0,0,53
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,97
0,0,254.6
0,125,16.5
139,391,0
627,0,0
592,0,0
419,0,0
336,0,0
468,0,0
183,0,0
0,0,0
178,0,0
0,0,0
0,0,0
7,0,0
343,0,0
69,0,0
