,Name,Values
148,ep2_2_time1_delp,0.0
149,ep2_3_time1_m_flow,0.0
150,ep2_3_time1_delp,0.0
151,ep2_4_time1_m_flow,0.0
152,ep2_4_time1_delp,0.0
153,ep3_1_time1_m_flow,0.0
154,ep3_1_time1_delp,0.0
155,ep3_2_time1_m_flow,0.0
156,ep3_2_time1_delp,0.0
157,ep3_3_time1_m_flow,0.0
158,ep3_3_time1_delp,0.0
159,ep3_4_time1_m_flow,0.0
160,ep3_4_time1_delp,0.0
161,cp1_1_time1_m_flow,0.0
162,cp1_1_time1_delp,2.7133738185117293
163,cp1_2_time1_m_flow,0.0
164,cp1_2_time1_delp,0.0
165,cp1_3_time1_m_flow,0.0
166,cp1_3_time1_delp,0.0
167,cp1_4_time1_m_flow,0.0
168,cp1_4_time1_delp,0.0
169,cp2_1_time1_m_flow,0.0
170,cp2_1_time1_delp,0.0
171,cp2_2_time1_m_flow,0.0
172,cp2_2_time1_delp,0.0
173,cp2_3_time1_m_flow,0.0
174,cp2_3_time1_delp,0.0
175,cp2_4_time1_m_flow,0.0
176,cp2_4_time1_delp,0.0
177,cp3_1_time1_m_flow,0.0
178,cp3_1_time1_delp,0.0
179,cp3_2_time1_m_flow,0.0
180,cp3_2_time1_delp,0.0
181,cp3_3_time1_m_flow,0.0
182,cp3_3_time1_delp,0.0
183,cp3_4_time1_m_flow,0.0
184,cp3_4_time1_delp,0.0
185,dist_np_combi_0_0_time1_m_flow,0.0
186,dist_np_combi_0_0_time1_delp,0.0
187,dist_np_combi_0_1_time1_m_flow,0.0
188,dist_np_combi_0_1_time1_delp,0.0
189,dist_np_combi_0_2_time1_m_flow,0.0
190,dist_np_combi_0_2_time1_delp,0.0
191,dist_np_combi_0_3_time1_m_flow,0.0
192,dist_np_combi_0_3_time1_delp,0.0
193,dist_np_combi_1_0_time1_m_flow,0.0
194,dist_np_combi_1_0_time1_delp,0.0
195,dist_np_combi_1_1_time1_m_flow,0.0
196,dist_np_combi_1_1_time1_delp,0.0
197,dist_np_combi_1_2_time1_m_flow,0.0
198,dist_np_combi_1_2_time1_delp,0.0
199,dist_np_combi_1_3_time1_m_flow,0.0
200,dist_np_combi_1_3_time1_delp,0.0
201,dist_np_combi_2_0_time1_m_flow,0.0
202,dist_np_combi_2_0_time1_delp,0.0
203,dist_np_combi_2_1_time1_m_flow,0.0
204,dist_np_combi_2_1_time1_delp,0.0
205,dist_np_combi_2_2_time1_m_flow,0.0
206,dist_np_combi_2_2_time1_delp,0.0
207,dist_np_combi_2_3_time1_m_flow,0.0
208,dist_np_combi_2_3_time1_delp,0.0
209,dist_np_combi_3_0_time1_m_flow,0.0
210,dist_np_combi_3_0_time1_delp,0.0
211,dist_np_combi_3_1_time1_m_flow,0.0
212,dist_np_combi_3_1_time1_delp,0.0
213,dist_np_combi_3_2_time1_m_flow,0.0
214,dist_np_combi_3_2_time1_delp,0.0
215,dist_np_combi_3_3_time1_m_flow,0.0
216,dist_np_combi_3_3_time1_delp,0.0
217,dist_np_combi_4_0_time1_m_flow,0.0
218,dist_np_combi_4_0_time1_delp,0.0
219,dist_np_combi_4_1_time1_m_flow,0.0
220,dist_np_combi_4_1_time1_delp,0.0
221,dist_np_combi_4_2_time1_m_flow,0.0
222,dist_np_combi_4_2_time1_delp,0.0
223,dist_np_combi_4_3_time1_m_flow,0.0
224,dist_np_combi_4_3_time1_delp,0.0
225,dist_np_combi_5_0_time1_m_flow,0.0
226,dist_np_combi_5_0_time1_delp,0.7449897034273993
227,dist_np_combi_5_1_time1_m_flow,0.0
228,dist_np_combi_5_1_time1_delp,0.0
229,dist_np_combi_5_2_time1_m_flow,0.0
230,dist_np_combi_5_2_time1_delp,0.0
231,dist_np_combi_5_3_time1_m_flow,0.0
232,dist_np_combi_5_3_time1_delp,0.0
233,dist_np_combi_6_0_time1_m_flow,0.0
234,dist_np_combi_6_0_time1_delp,0.0
235,dist_np_combi_6_1_time1_m_flow,0.0
236,dist_np_combi_6_1_time1_delp,0.0
237,dist_np_combi_6_2_time1_m_flow,0.0
238,dist_np_combi_6_2_time1_delp,0.0
239,dist_np_combi_6_3_time1_m_flow,0.0
240,dist_np_combi_6_3_time1_delp,0.0
241,enwk_1_time1_m_flow,0.0
242,enwk_2_time1_m_flow,0.0
243,enwk_3_time1_m_flow,0.0
244,enwk_4_time1_m_flow,0.0
245,cnwk_1_time1_m_flow,0.0
246,cnwk_2_time1_m_flow,0.0
247,cnwk_3_time1_m_flow,0.0
248,cnwk_4_time1_m_flow,0.0
249,cts_time1_q_rej,0.0
250,ch1_1_time2_q_out,0.0
251,ch1_2_time2_q_out,812.5039449749999
252,ch1_3_time2_q_out,0.0
253,ch1_4_time2_q_out,0.0
254,ch2_1_time2_q_out,0.0
255,ch2_2_time2_q_out,0.0
256,ch2_3_time2_q_out,0.0
257,ch2_4_time2_q_out,0.0
258,ch3_1_time2_q_out,0.0
259,ch3_2_time2_q_out,0.0
260,ch3_3_time2_q_out,0.0
261,ch3_4_time2_q_out,0.0
262,ep1_1_time2_m_flow,0.0
263,ep1_1_time2_delp,2.4739847352569
264,ep1_2_time2_m_flow,0.0
265,ep1_2_time2_delp,0.0
266,ep1_3_time2_m_flow,0.0
267,ep1_3_time2_delp,0.0
268,ep1_4_time2_m_flow,0.0
269,ep1_4_time2_delp,0.0
270,ep2_1_time2_m_flow,0.0
271,ep2_1_time2_delp,0.0
272,ep2_2_time2_m_flow,0.0
273,ep2_2_time2_delp,0.0
274,ep2_3_time2_m_flow,0.0
275,ep2_3_time2_delp,0.0
276,ep2_4_time2_m_flow,0.0
277,ep2_4_time2_delp,0.0
278,ep3_1_time2_m_flow,0.0
279,ep3_1_time2_delp,0.0
280,ep3_2_time2_m_flow,0.0
281,ep3_2_time2_delp,0.0
282,ep3_3_time2_m_flow,0.0
283,ep3_3_time2_delp,0.0
284,ep3_4_time2_m_flow,0.0
285,ep3_4_time2_delp,0.0
286,cp1_1_time2_m_flow,0.0
287,cp1_1_time2_delp,2.492468222804532
288,cp1_2_time2_m_flow,0.0
289,cp1_2_time2_delp,0.0
290,cp1_3_time2_m_flow,0.0
291,cp1_3_time2_delp,0.0
292,cp1_4_time2_m_flow,0.0
293,cp1_4_time2_delp,0.0
294,cp2_1_time2_m_flow,0.0
295,cp2_1_time2_delp,0.0
296,cp2_2_time2_m_flow,0.0
297,cp2_2_time2_delp,0.0
298,cp2_3_time2_m_flow,0.0
299,cp2_3_time2_delp,0.0
300,cp2_4_time2_m_flow,0.0
301,cp2_4_time2_delp,0.0
302,cp3_1_time2_m_flow,0.0
303,cp3_1_time2_delp,0.0
