Marca temporal;001 - Planta Biomasa Electricidad.AGUA ENTRADA MEGA BIOMASA (m3)
01/01/2015 0:00:00;181
02/01/2015 0:00:00;225
03/01/2015 0:00:00;85
04/01/2015 0:00:00;202
05/01/2015 0:00:00;209
06/01/2015 0:00:00;272
07/01/2015 0:00:00;236
08/01/2015 0:00:00;89
09/01/2015 0:00:00;63
10/01/2015 0:00:00;64
11/01/2015 0:00:00;70
12/01/2015 0:00:00;43
13/01/2015 0:00:00;113
14/01/2015 0:00:00;111
15/01/2015 0:00:00;221
16/01/2015 0:00:00;146
17/01/2015 0:00:00;137
18/01/2015 0:00:00;102
19/01/2015 0:00:00;135
20/01/2015 0:00:00;36
21/01/2015 0:00:00;63
22/01/2015 0:00:00;78
23/01/2015 0:00:00;105
24/01/2015 0:00:00;85
25/01/2015 0:00:00;101
26/01/2015 0:00:00;189
27/01/2015 0:00:00;103
28/01/2015 0:00:00;131
29/01/2015 0:00:00;122
30/01/2015 0:00:00;163
31/01/2015 0:00:00;208
01/02/2015 0:00:00;143
02/02/2015 0:00:00;149
03/02/2015 0:00:00;92
04/02/2015 0:00:00;53
05/02/2015 0:00:00;36
06/02/2015 0:00:00;56
07/02/2015 0:00:00;65
08/02/2015 0:00:00;87
09/02/2015 0:00:00;131
10/02/2015 0:00:00;100
11/02/2015 0:00:00;105
12/02/2015 0:00:00;99
13/02/2015 0:00:00;130
14/02/2015 0:00:00;246
15/02/2015 0:00:00;221
16/02/2015 0:00:00;245
17/02/2015 0:00:00;214
18/02/2015 0:00:00;253
19/02/2015 0:00:00;240
20/02/2015 0:00:00;198
21/02/2015 0:00:00;168
22/02/2015 0:00:00;200
23/02/2015 0:00:00;230
24/02/2015 0:00:00;198
25/02/2015 0:00:00;209
26/02/2015 0:00:00;222
27/02/2015 0:00:00;223
28/02/2015 0:00:00;254
01/03/2015 0:00:00;201
02/03/2015 0:00:00;301
03/03/2015 0:00:00;280
04/03/2015 0:00:00;264
05/03/2015 0:00:00;182
06/03/2015 0:00:00;-77639
07/03/2015 0:00:00;78025
08/03/2015 0:00:00;216
09/03/2015 0:00:00;204
10/03/2015 0:00:00;218
11/03/2015 0:00:00;234
12/03/2015 0:00:00;241
13/03/2015 0:00:00;260
14/03/2015 0:00:00;253
15/03/2015 0:00:00;206
16/03/2015 0:00:00;184
17/03/2015 0:00:00;137
18/03/2015 0:00:00;185
19/03/2015 0:00:00;194
20/03/2015 0:00:00;217
21/03/2015 0:00:00;100068
22/03/2015 0:00:00;-99808
23/03/2015 0:00:00;220
24/03/2015 0:00:00;198
25/03/2015 0:00:00;155
26/03/2015 0:00:00;177
27/03/2015 0:00:00;177
28/03/2015 0:00:00;280
29/03/2015 0:00:00;323
30/03/2015 0:00:00;283
31/03/2015 0:00:00;291
01/04/2015 0:00:00;285
02/04/2015 0:00:00;274
03/04/2015 0:00:00;270
04/04/2015 0:00:00;263
05/04/2015 0:00:00;285
06/04/2015 0:00:00;270
07/04/2015 0:00:00;283
08/04/2015 0:00:00;199
09/04/2015 0:00:00;202
10/04/2015 0:00:00;43
11/04/2015 0:00:00;0
12/04/2015 0:00:00;0
13/04/2015 0:00:00;83
14/04/2015 0:00:00;332
15/04/2015 0:00:00;270
16/04/2015 0:00:00;283
17/04/2015 0:00:00;309
18/04/2015 0:00:00;267
19/04/2015 0:00:00;332
20/04/2015 0:00:00;301
21/04/2015 0:00:00;282
22/04/2015 0:00:00;289
23/04/2015 0:00:00;291
24/04/2015 0:00:00;302
25/04/2015 0:00:00;307
26/04/2015 0:00:00;303
27/04/2015 0:00:00;307
28/04/2015 0:00:00;311
29/04/2015 0:00:00;315
30/04/2015 0:00:00;317
01/05/2015 0:00:00;322
02/05/2015 0:00:00;332
03/05/2015 0:00:00;349
04/05/2015 0:00:00;360
05/05/2015 0:00:00;341
06/05/2015 0:00:00;345
07/05/2015 0:00:00;353
08/05/2015 0:00:00;347
09/05/2015 0:00:00;337
10/05/2015 0:00:00;356
11/05/2015 0:00:00;362
12/05/2015 0:00:00;367
13/05/2015 0:00:00;251
14/05/2015 0:00:00;278
15/05/2015 0:00:00;344
16/05/2015 0:00:00;341
17/05/2015 0:00:00;348
18/05/2015 0:00:00;280
19/05/2015 0:00:00;0
20/05/2015 0:00:00;0
21/05/2015 0:00:00;0
22/05/2015 0:00:00;85
23/05/2015 0:00:00;0
24/05/2015 0:00:00;0
25/05/2015 0:00:00;0
26/05/2015 0:00:00;0
27/05/2015 0:00:00;9
28/05/2015 0:00:00;0
29/05/2015 0:00:00;172
30/05/2015 0:00:00;330
31/05/2015 0:00:00;359
01/06/2015 0:00:00;379
02/06/2015 0:00:00;373
03/06/2015 0:00:00;355
04/06/2015 0:00:00;390
05/06/2015 0:00:00;361
06/06/2015 0:00:00;456
07/06/2015 0:00:00;227
08/06/2015 0:00:00;327
09/06/2015 0:00:00;316
10/06/2015 0:00:00;345
11/06/2015 0:00:00;348
12/06/2015 0:00:00;380
13/06/2015 0:00:00;366
14/06/2015 0:00:00;367
15/06/2015 0:00:00;373
16/06/2015 0:00:00;353
17/06/2015 0:00:00;361
18/06/2015 0:00:00;327
19/06/2015 0:00:00;372
20/06/2015 0:00:00;347
21/06/2015 0:00:00;367
22/06/2015 0:00:00;370
23/06/2015 0:00:00;368
24/06/2015 0:00:00;354
25/06/2015 0:00:00;340
26/06/2015 0:00:00;343
27/06/2015 0:00:00;345
28/06/2015 0:00:00;347
29/06/2015 0:00:00;345
30/06/2015 0:00:00;83
01/07/2015 0:00:00;369
02/07/2015 0:00:00;357
03/07/2015 0:00:00;355
04/07/2015 0:00:00;371
05/07/2015 0:00:00;336
06/07/2015 0:00:00;398
07/07/2015 0:00:00;395
08/07/2015 0:00:00;405
09/07/2015 0:00:00;383
10/07/2015 0:00:00;179
11/07/2015 0:00:00;151
12/07/2015 0:00:00;388
13/07/2015 0:00:00;386
14/07/2015 0:00:00;384
15/07/2015 0:00:00;385
16/07/2015 0:00:00;409
17/07/2015 0:00:00;393
18/07/2015 0:00:00;256
19/07/2015 0:00:00;301
20/07/2015 0:00:00;394
21/07/2015 0:00:00;370
22/07/2015 0:00:00;399
23/07/2015 0:00:00;380
24/07/2015 0:00:00;388
25/07/2015 0:00:00;402
26/07/2015 0:00:00;347
27/07/2015 0:00:00;385
28/07/2015 0:00:00;240
29/07/2015 0:00:00;395
30/07/2015 0:00:00;281
31/07/2015 0:00:00;379
01/08/2015 0:00:00;516
02/08/2015 0:00:00;257
03/08/2015 0:00:00;313
04/08/2015 0:00:00;36
05/08/2015 0:00:00;371
06/08/2015 0:00:00;385
07/08/2015 0:00:00;372
08/08/2015 0:00:00;378
09/08/2015 0:00:00;370
10/08/2015 0:00:00;382
11/08/2015 0:00:00;371
12/08/2015 0:00:00;386
13/08/2015 0:00:00;396
14/08/2015 0:00:00;365
15/08/2015 0:00:00;375
16/08/2015 0:00:00;363
17/08/2015 0:00:00;365
18/08/2015 0:00:00;366
19/08/2015 0:00:00;352
20/08/2015 0:00:00;350
21/08/2015 0:00:00;381
22/08/2015 0:00:00;364
23/08/2015 0:00:00;366
24/08/2015 0:00:00;361
25/08/2015 0:00:00;377
26/08/2015 0:00:00;361
27/08/2015 0:00:00;330
28/08/2015 0:00:00;134
29/08/2015 0:00:00;132
30/08/2015 0:00:00;362
31/08/2015 0:00:00;377
01/09/2015 0:00:00;388
02/09/2015 0:00:00;373
03/09/2015 0:00:00;383
04/09/2015 0:00:00;232
05/09/2015 0:00:00;186
06/09/2015 0:00:00;160
07/09/2015 0:00:00;144
08/09/2015 0:00:00;259
09/09/2015 0:00:00;340
10/09/2015 0:00:00;334
11/09/2015 0:00:00;350
12/09/2015 0:00:00;333
13/09/2015 0:00:00;342
14/09/2015 0:00:00;353
15/09/2015 0:00:00;352
16/09/2015 0:00:00;350
17/09/2015 0:00:00;353
18/09/2015 0:00:00;356
19/09/2015 0:00:00;348
20/09/2015 0:00:00;353
21/09/2015 0:00:00;305
22/09/2015 0:00:00;342
23/09/2015 0:00:00;323
24/09/2015 0:00:00;227
25/09/2015 0:00:00;0
26/09/2015 0:00:00;0
27/09/2015 0:00:00;0
28/09/2015 0:00:00;0
29/09/2015 0:00:00;5
30/09/2015 0:00:00;0
01/10/2015 0:00:00;0
02/10/2015 0:00:00;0
03/10/2015 0:00:00;0
04/10/2015 0:00:00;0
05/10/2015 0:00:00;0
06/10/2015 0:00:00;0
07/10/2015 0:00:00;0
08/10/2015 0:00:00;8
09/10/2015 0:00:00;0
10/10/2015 0:00:00;0
11/10/2015 0:00:00;215
12/10/2015 0:00:00;366
13/10/2015 0:00:00;330
14/10/2015 0:00:00;339
15/10/2015 0:00:00;327
16/10/2015 0:00:00;320
17/10/2015 0:00:00;204
18/10/2015 0:00:00;338
19/10/2015 0:00:00;348
20/10/2015 0:00:00;340
21/10/2015 0:00:00;329
22/10/2015 0:00:00;114
23/10/2015 0:00:00;373
24/10/2015 0:00:00;345
25/10/2015 0:00:00;342
26/10/2015 0:00:00;365
27/10/2015 0:00:00;334
28/10/2015 0:00:00;278
29/10/2015 0:00:00;309
30/10/2015 0:00:00;356
31/10/2015 0:00:00;352
01/11/2015 0:00:00;339
02/11/2015 0:00:00;365
03/11/2015 0:00:00;359
04/11/2015 0:00:00;335
05/11/2015 0:00:00;346
06/11/2015 0:00:00;362
07/11/2015 0:00:00;345
08/11/2015 0:00:00;450
09/11/2015 0:00:00;203
10/11/2015 0:00:00;318
11/11/2015 0:00:00;348
12/11/2015 0:00:00;344
13/11/2015 0:00:00;248
14/11/2015 0:00:00;238
15/11/2015 0:00:00;222
16/11/2015 0:00:00;110
17/11/2015 0:00:00;169
18/11/2015 0:00:00;309
19/11/2015 0:00:00;308
20/11/2015 0:00:00;285
21/11/2015 0:00:00;312
22/11/2015 0:00:00;346
23/11/2015 0:00:00;236
24/11/2015 0:00:00;124
25/11/2015 0:00:00;189
26/11/2015 0:00:00;255
27/11/2015 0:00:00;262
28/11/2015 0:00:00;204
29/11/2015 0:00:00;241
30/11/2015 0:00:00;274
01/12/2015 0:00:00;140
02/12/2015 0:00:00;242
03/12/2015 0:00:00;208
04/12/2015 0:00:00;269
05/12/2015 0:00:00;232
06/12/2015 0:00:00;247
07/12/2015 0:00:00;278
08/12/2015 0:00:00;268
