,T_evap_in,evap_flow,ss_gv2_demand,ss_hsb_demand,ss_pfa_demand,ss_ser_demand,T_WB,return_obj,temp_error
0,281.92734069999995,415.226589,499.1,300.0,50.0,0.0,22.47434912,884.7958780431671,2542.959106143854
1,281.9482727,415.226589,499.1,300.0,60.0,0.0,22.47434912,886.2186037386853,2543.08510722305
2,281.54346039999996,217.3903135,104.3988991,200.0,50.0,0.0,22.47434912,496.2500214663857,2529.053081325685
3,281.590978,217.3903135,16.4840367,300.0,50.0,0.0,22.07528905,496.2138063317505,2528.943824676986
4,281.1905866,217.3903135,14.65247706,200.0,50.0,0.0,20.53862231,443.24429392629565,2529.864695671421
5,281.23710710000006,217.3903135,16.4840367,200.0,60.0,0.0,19.01665621,431.34950865471944,2529.7577036030816
6,281.15126760000004,217.3903135,14.65247706,200.0,40.0,0.0,18.45060888,417.79712296535547,2529.9551193882908
7,282.8885044,217.3903135,16.4840367,200.0,50.0,430.0,19.39113708,577.9196326726985,2525.9594852815894
8,282.73862349999996,633.6169025,815.0440367000001,300.0,420.0,360.0,19.84464425,1412.43672587473,2542.4717198043822
9,283.0367395,415.226589,499.1,200.0,340.0,340.0,22.09284342,964.5005206227439,2549.638563337112
10,282.8385543,633.6169025,998.2,300.0,370.0,300.0,23.282020899999996,1523.8696164538078,2540.0960220782454
11,282.19768960000005,1043.843491,1497.3,200.0,390.0,390.0,23.282020899999996,2409.6172480656173,2430.6363475072317
12,282.2965123,1235.679767,1996.4,300.0,420.0,360.0,23.78992925,2949.936961092116,984.7865009514578
13,282.2968793,1043.843491,1497.3,300.0,430.0,370.0,23.78992925,2453.876155838263,603.5364777191319
14,282.2058068,1235.679767,1996.4,200.0,400.0,350.0,24.22544387,2932.0148628910665,30.54989674851072
15,282.3383764,1235.679767,1996.4,300.0,470.0,370.0,24.22544387,2987.1181473227643,576.6691450783981
16,282.27558030000006,1235.679767,1996.4,200.0,470.0,380.0,23.78992925,2941.2969423450218,514.535565825696
17,282.3034897,1235.679767,1996.4,300.0,420.0,370.0,23.78992925,2952.8154385394273,576.5985909954736
18,282.2406935,1235.679767,1996.4,200.0,440.0,360.0,23.78992925,2926.8812887735985,31.010725048815857
19,282.2555503,1043.843491,1497.3,300.0,410.0,340.0,23.78992925,2443.3062345647454,603.4375247537014
20,282.2825576,1235.679767,1996.4,400.0,340.0,320.0,23.44221012,2928.390486838214,514.5496566422594
21,282.05642689999996,1043.843491,1996.4,200.0,90.0,20.0,23.44221012,2389.199074907654,1323.2042218720892
22,282.1142876,1043.843491,1996.4,300.0,80.0,0.0,23.44221012,2404.026914076931,2156.350738382855
23,282.0052965,633.6169025,998.2,300.0,60.0,0.0,23.44221012,1378.8893475753505,2414.0781316044977
24,281.2970765,412.226589,12.32345679,200.0,80.75342466,0.0,18.45060888,788.3679597834581,2800.5494510338167
25,281.1805903,220.3903135,20.02561728,200.0,10.0,0.0,18.45060888,5000.0,5000.0
26,280.97721160000003,220.3903135,16.94475309,200.0,4.6875,0.0,17.51007834,5000.0,5000.0
27,280.36764930000004,220.3903135,12.32345679,200.0,5.3125,0.0,17.00064316,5000.0,5000.0
28,280.3501731,220.3903135,13.86388889,200.0,80.0,0.0,17.00064316,5000.0,5000.0
29,280.3484309,220.3903135,12.32345679,200.0,4.838709677,0.0,16.56490642,5000.0,5000.0
30,280.2932255,220.3903135,13.86388889,100.0,5.161290323,0.0,17.00064316,5000.0,5000.0
31,280.3346798,220.3903135,12.32345679,200.0,10.0,0.0,17.95255691,5000.0,5000.0
32,280.9643851,220.3903135,254.1712963,200.0,320.0,400.0,18.45060888,5000.0,5000.0
33,280.68131539999996,220.3903135,116.57810220000002,100.0,270.0,360.0,18.91616356,5000.0,5000.0
34,282.22299530000004,220.3903135,382.52189780000003,200.0,240.0,360.0,18.30659025,5000.0,5000.0
35,281.4390921,220.3903135,1497.3,200.0,300.0,390.0,18.91616356,5000.0,5000.0
36,281.6731327,220.3903135,1497.3,100.0,370.0,380.0,17.87037826,5000.0,5000.0
37,281.7260412,630.6169025,1497.3,200.0,380.0,390.0,17.87037826,1227.9869333636834,1564.3824973954281
38,281.83254480000005,220.3903135,1497.3,100.0,360.0,380.0,17.80421156,5000.0,5000.0
39,281.7036192,220.3903135,998.2,200.0,350.0,380.0,17.87037826,5000.0,5000.0
40,281.4975412,412.226589,1497.3,100.0,330.0,380.0,17.87037826,827.2824432247467,410.0957945360051
