,Name,Value,Unit
0,chiller1_etret,280.048709677419,K
1,chiller1_ctin,298.15,K
2,chiller1_tenwkflow,186.823546512958,m3/h
3,chiller1_piecewise_steps,1.0,-
4,chiller2_etret,280.048709677419,K
5,chiller2_ctin,298.15,K
6,chiller2_tenwkflow,186.823546512958,m3/h
7,chiller2_piecewise_steps,1.0,-
8,chiller3_etret,280.048709677419,K
9,chiller3_ctin,298.15,K
10,chiller3_tenwkflow,186.823546512958,m3/h
11,chiller3_piecewise_steps,1.0,-
12,combined_substation_demand,849.1,kWh
13,combined_substation_totalflownwk,186.823546512958,m3/h
14,chiller_ret_etret,280.048709677419,K
15,chiller_evap_flow_consol_tf,186.823546512958,m3/h
16,cp_network_nwk_choice_tf,186.823546512958,m3/h
