,gv2_demand,hsb_demand,pfa_demand,ser_demand,T_WB,v0,v1,obj_func
0,499.1,300.0,49.99999999999999,0.0,22.47434912,275.16,652.787309885025,100000
1,499.1,300.0,59.999999999999986,0.0,22.47434912,276.29282953262333,754.5530918985605,7385.747790609577
2,104.39889910000002,200.0,49.99999999999999,0.0,22.47434912,275.16,571.9271063804626,1238.665957987527
3,16.484036699999972,300.0,49.99999999999999,0.0,22.07528905,277.73746227264405,548.2606589794159,11909.810205908314
4,14.65247706,200.0,49.99999999999999,0.0,20.53862231,275.16,766.3435056805611,2852.3845452525434
5,16.484036699999972,200.0,59.999999999999986,0.0,19.01665621,276.34098278045656,695.9826365113258,13495.6662896925
6,14.65247706,200.0,40.0,0.0,18.45060888,275.36866767883305,575.3678321838379,1594.6428709269383
7,16.484036699999972,200.0,49.99999999999999,430.0,19.39113708,276.38124744415285,664.122599363327,3353.2945685226355
8,815.0440367000001,300.0,420.0,360.0,19.84464425,277.5860898971558,682.3205806314945,1954.1044214943897
9,499.1,200.0,340.0,340.0,22.09284342,279.0,699.5781533420086,1126.1574415276496
10,998.2,300.0,370.0,300.0,23.2820209,279.0,807.0209354162216,17624.996094512
11,1497.3,200.0,390.0,390.0,23.2820209,277.222589263916,587.1608644723892,100000
12,1996.4,300.0,420.0,360.0,23.78992925,276.6984659957886,877.8458744287491,100000
13,1497.3,300.0,430.0,370.0,23.78992925,277.6345441246033,674.2001123726368,1027.6574294181883
14,1996.4,200.0,400.0,350.0,24.22544387,275.54333438873294,507.61334002017975,100000
15,1996.4,300.0,470.0,370.0,24.22544387,277.5012570762634,731.0421977192163,100000
16,1996.4,200.0,470.0,380.0,23.78992925,276.2402855300904,876.3501048088074,100000
17,1996.4,300.0,420.0,370.0,23.78992925,277.27606338500976,702.4372059851885,100000
18,1996.4,200.0,440.0,360.0,23.78992925,276.6724644756317,479.0352463722229,100000
19,1497.3,300.0,410.0,340.0,23.78992925,275.61305717468264,593.8617907464504,100000
20,1996.4,400.0,340.0,320.0,23.44221012,279.0,734.5504473894835,7174.732876973398
21,1996.4,200.0,90.0,19.99999999999999,23.44221012,275.16,603.3015765249729,100000
22,1996.4,300.0,80.0,0.0,23.44221012,275.16,617.6208816468716,100000
23,998.2,300.0,59.999999999999986,0.0,23.44221012,276.0524787139893,869.9449017643929,2543.6442754428217
