,v0,v1,objective_func,v0_real,v1_real,objective_func_real
0,275.83170021057134,731.6925339400767,2304.429655677717,275.8069009321884,731.6925339400767,577.2330304810692
1,276.9723753118515,677.0801417529582,7229.6319695451575,276.68857868060917,677.0801417529582,599.5255813627366
2,277.0317237710953,639.9481862783433,10697.137719383205,281.54346039999996,217.3903135,381.2211563
3,277.61563957214355,720.9218420088292,5771.91614762287,281.590978,217.3903135,629.2221135
4,276.66958700180055,861.0522732138634,10640.106706506354,281.1905866,217.3903135,452.56873719999993
5,276.581022605896,450.0,10213.633997531417,281.23710710000006,217.3903135,432.5041433
6,276.75977863311766,760.0187592208384,1347.3524940595478,281.15126760000004,217.3903135,453.2240625
7,278.2207102203369,625.8644238114358,10996.394243628896,282.8885044,217.3903135,363.10445730000004
8,278.59990837097166,1000.0,3886.261558731865,282.73862349999996,633.6169025,1075.004159
9,277.49476318359376,864.2080038785934,7566.345303670908,283.0367395,415.226589,829.5211094
10,276.558615989685,586.7283806204797,100000.0,282.8385543,633.6169025,1139.536749
11,276.6701653862,609.0811491012572,100000.0,282.19768960000005,1043.843491,1329.875924
12,278.9663963699341,756.2426432967186,3851.720146003764,278.9050034148295,756.2426432967186,1044.4371416549188
13,278.6876947402954,728.0827976763247,5691.695809989267,278.5667734720801,728.0827976763247,933.9490341056971
14,277.6528734970093,450.0,100000.0,282.2058068,1235.679767,1934.894224
15,276.95853235244755,458.2895442843437,100000.0,282.3383764,1235.679767,1966.4875260000001
16,276.33570293426516,574.306857585907,100000.0,282.27558030000006,1235.679767,1944.8976989999999
17,277.81449119567867,636.3530956208706,100000.0,282.3034897,1235.679767,1953.10234
18,275.8442740631104,1000.0,100000.0,282.2406935,1235.679767,1937.174471
19,276.5209016418457,627.9153496026993,100000.0,282.2555503,1043.843491,1351.444573
20,277.1801398515701,617.8630217909812,100000.0,282.2825576,1235.679767,1945.951547
21,275.16,755.4507151246071,100000.0,282.05642689999996,1043.843491,1462.820602
22,275.16,553.5987079143523,100000.0,282.1142876,1043.843491,1475.822825
23,276.11282112121586,743.4223245829344,867.7274903890559,276.10186919864134,743.4223245829344,643.8768535995581
