,v0,v1,objective_func,v0_real,v1_real,objective_func_real
0,276.83272782325747,552.3592323064804,6072.272631768612,276.7535268797456,552.3592323064804,586.836627994346
1,277.19142663002015,908.9980214834213,4416.153188240336,281.9482727,415.226589,797.6306529
2,277.3949572563171,450.0,16929.016398361564,281.54346039999996,217.3903135,381.2211563
3,276.1312938308716,510.1984903216362,2153.2491157500767,276.00796633098633,510.1984903216362,526.7849115734303
4,278.186837310791,638.7034900486468,31350.21777355314,281.1905866,217.3903135,452.56873719999993
5,277.230966796875,516.6247561573982,13852.249519503755,281.23710710000006,217.3903135,432.5041433
6,279.0,510.1197630167008,32920.31637559209,281.15126760000004,217.3903135,453.2240625
7,276.7580097770691,611.5914240479468,5912.667181217112,282.8885044,217.3903135,363.10445730000004
8,276.8801223564148,664.3024198710917,841.7342664725845,276.8740811730943,664.3024198710917,673.4359979644506
9,277.1362292289734,683.3227638155222,5618.703034477187,277.13622922897315,683.3227638155222,651.3358534520976
10,279.0,798.3721271157265,10832.06603496605,278.4191445737266,798.3721271157265,954.5705959181843
11,277.2724336624146,840.5531615018845,1331.943427724041,277.2053455775756,840.5531615018845,970.792052680817
12,277.2345703697205,757.9483360052109,100000.0,282.2965123,1235.679767,1951.5619960000001
13,278.6452861404419,933.118572831154,1633.583561339707,278.61814447614466,933.118572831154,1314.4717268681654
14,279.0,949.3207275867462,13780.506942624595,278.9544861581462,949.3207275867462,1186.2284958873722
15,277.9387292289734,860.5797782540321,1825.0871743326154,277.76787596492517,860.5797782540321,1122.9898520782504
16,277.2080809593201,1000.0,1939.250251868157,277.1512740849532,1000.0,1096.1606950872945
17,277.98378822326663,1000.0,5479.578384335273,277.7813392436749,1000.0,1187.1676966338794
18,277.23501623153686,1000.0,2999.490289088979,277.19836040471046,1000.0,1080.5416993315982
19,278.7042715072632,789.31994587183,8004.386200877663,278.55329906189445,789.31994587183,958.0471174745621
20,277.1912607765198,865.5324190855026,1295.6928793552224,277.1912607765198,865.5324190855026,1035.0524914941916
21,276.3786735534668,967.1189337968826,1164.2012805630784,276.36471245400287,967.1189337968826,919.530800368704
22,276.91263184547427,685.8104065060617,100000.0,282.1142876,1043.843491,1475.822825
23,277.87094930648806,594.7489276528357,8852.355029360751,277.7223201370094,594.7489276528357,662.1829889145888
