Day of week,Date,Month,Year ,Hour,tcond_in,tcond_out,mcond,tevap_in,tevap_out,mevap,elect,qe,qc,qe-qc,cop
6,2,1,2016,9,294.75,295.45,1182.3,280.15,278.45,450.5,891.8833817,963.807019,71.92363733,453,1.968837487
6,2,1,2016,11,294.75,295.45,1182.6,280.15,278.45,452,894.8530267,964.051578,69.19855133,507,1.764996108
6,2,1,2016,13,294.75,295.45,1176.6,280.15,278.45,458.6,907.9194647,959.160398,51.24093333,117,7.759995425
6,2,1,2016,14,294.75,295.45,1178.3,280.15,278.45,463,916.6304233,960.5462323,43.915809,506,1.811522576
6,2,1,2016,16,294.75,295.45,1181,279.65,278.45,457.8,639.766344,962.7472633,322.9809193,511,1.251988932
6,2,1,2016,21,294.75,295.75,1177,280.15,278.45,460,910.6911333,1370.694967,460.0038333,508,1.792699081
7,3,1,2016,18,294.95,295.75,1182.6,280.25,278.55,459.1,908.9093463,1101.773232,192.8638857,505,1.799820488
1,4,1,2016,13,294.95,295.85,1184.3,280.45,278.25,454.8,1165.218824,1241.276673,76.057849,503,2.316538417
1,4,1,2016,18,294.95,295.85,1173.6,280.45,278.25,465,1191.3517,1230.061896,38.710196,505,2.359112277
1,4,1,2016,22,294.95,295.85,1185,280.45,278.25,459.6,1177.516648,1242.01035,64.493702,512,2.299837203
4,7,1,2016,11,295.05,296.15,1175,280.65,278.35,453.6,1214.969112,1505.202417,290.2333047,506,2.401124727
4,7,1,2016,16,295.05,295.65,1187,279.65,278.35,461.1,698.076197,829.40438,131.328183,502,1.390590034
5,8,1,2016,14,294.95,295.95,1181,280.85,278.55,465.8,1247.646853,1375.353233,127.7063807,516,2.417920257
5,8,1,2016,22,294.95,295.95,1176.3,280.85,278.55,469.5,1257.557315,1369.87977,112.322455,514,2.446609562
7,10,1,2016,13,294.95,295.65,1187,280.15,278.35,460.1,964.470822,967.6384433,3.167621333,508,1.89856461
2,12,1,2016,22,294.85,295.95,1176.6,280.65,277.95,459.6,1445.134068,1507.252054,62.117986,517,2.795230306
3,13,1,2016,13,294.65,295.85,1178,280.65,278.45,462.8,1185.715197,1646.23144,460.5162427,508,2.334085034
3,13,1,2016,15,294.65,295.85,1179.3,280.65,278.45,468.3,1199.806454,1648.048164,448.24171,501,2.394823261
3,13,1,2016,17,294.65,295.85,1182.3,281.15,278.45,465.3,1463.056749,1652.240604,189.183855,503,2.908661529
3,13,1,2016,19,294.65,295.85,1180.3,281.15,278.45,468.5,1473.118605,1649.445644,176.327039,509,2.894142642
3,13,1,2016,21,294.65,295.85,1174,280.65,278.45,459.3,1176.748034,1640.64152,463.893486,515,2.284947639
4,14,1,2016,11,295.05,296.25,1174.6,281.35,278.65,468,1471.54644,1641.480008,169.933568,508,2.896744961
5,15,1,2016,22,295.05,295.85,1174,280.45,278.55,462.6,1023.584226,1093.761013,70.17678733,510,2.007027894
5,22,1,2016,21,295.15,295.95,1184.6,280.45,278.45,462.1,1076.292513,1103.636539,27.34402533,518,2.077784775
1,25,1,2016,16,295.15,296.05,1187,280.25,278.25,466,1085.376133,1244.10657,158.7304367,510,2.128188497
2,26,1,2016,18,295.05,296.15,1173,281.15,278.55,462,1398.87748,1502.64037,103.76289,372,3.760423333
2,26,1,2016,20,295.05,296.15,1181.3,281.15,278.55,462.6,1400.694204,1513.272864,112.5786597,513,2.730398058
2,26,1,2016,22,295.05,296.05,1179.3,280.65,278.55,463.3,1133.041847,1373.37347,240.331623,516,2.195817533
3,27,1,2016,12,294.95,295.95,1180,280.65,278.65,465.6,1084.44448,1374.188667,289.7441867,519,2.089488401
3,27,1,2016,14,294.95,295.85,1184.3,280.65,278.65,464.1,1080.95078,1241.276673,160.325893,516,2.094865853
3,27,1,2016,16,294.95,295.85,1183.6,280.65,278.65,461.6,1075.127947,1240.542996,165.4150493,506,2.124758788
4,28,1,2016,17,294.95,296.35,1177.6,280.85,278.25,467.6,1415.833571,1919.951189,504.1176187,508,2.787073958
4,28,1,2016,21,294.95,296.15,1179.3,280.85,278.25,467.1,1414.319634,1648.048164,233.72853,502,2.817369789
1,1,2,2016,9,294.75,295.65,1179,280.35,278.55,461.8,968.034396,1235.72169,267.687294,508,1.90557952
